Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 112000,0.0,0.0,0.0,0.0,85.0,.,.,.,.
"50+ Units (Own), 2 BR",All Values,,0.0,0.0,0.0,0.0,169.0,.,.,.,.
"50+ Units (Own), 2 BR",Second Tercile,155000 to 250000,0.0,0.0,0.0,0.0,69.0,.,.,.,.
"50+ Units (Own), 2 BR",Third Tercile ,Above 250000,0.0,0.0,0.0,0.0,100.0,.,.,.,.
"50+ Units (Rent), 0-1 BR",All Values,,0.00210162,0.00210162,0.0,0.0,8089.0,0.00218686,-0.00149576,0.005699,1.7117189
"50+ Units (Rent), 0-1 BR",First Tercile,Below 32000,0.0,0.0,0.0,0.0,2416.0,.,.,.,.
"50+ Units (Rent), 0-1 BR",Second Tercile,32000 to 51000,0.0059733,0.0059733,0.0,0.0,2846.0,0.00623854,-0.0042891,0.01623569,1.7180454
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 51000,0.0,0.0,0.0,0.0,2827.0,.,.,.,.
"50+ Units (Rent), 2 BR",All Values,,0.19410745,0.16406701,0.01617562,0.01386482,1731.0,0.10552936,0.02051166,0.36770325,0.89432834
"50+ Units (Rent), 2 BR",First Tercile,Below 64000,0.06382979,0.0,0.0,0.06382979,376.0,0.06493902,-0.0429949,0.17065447,1.6735867
"50+ Units (Rent), 2 BR",Second Tercile,64000 to 90000,0.48351648,0.43956044,0.04395604,0.0,637.0,0.30739116,-0.02214198,0.98917495,1.0457936
"50+ Units (Rent), 2 BR",Third Tercile ,Above 90000,0.00557103,0.00557103,0.0,0.0,718.0,0.00741664,-0.00662934,0.0177714,2.1899659
"50+ Units (Rent), 3 BR",All Values,,0.42402827,0.12720848,0.0,0.29681979,283.0,0.28966696,-0.05247388,0.90053042,1.1237509
"50+ Units (Rent), 3 BR",First Tercile,Below 73000,0.86666667,0.0,0.0,0.86666667,30.0,1.2131027,-1.1288873,2.8622207,2.3025623
"50+ Units (Rent), 3 BR",Third Tercile ,Above 100000,0.3715415,0.14229249,0.0,0.22924901,253.0,0.27781567,-0.08546527,0.82854827,1.2300289
All Housing Types (Own) 0-1 BR,All Values,,0.06759211,0.05487805,0.00765439,0.00505968,7708.0,0.02750336,0.02234909,0.11283513,0.66935356
All Housing Types (Own) 0-1 BR,First Tercile,Below 54000,0.01927387,0.01030928,0.00179292,0.00717167,2231.0,0.01313472,-0.00233275,0.04088049,1.1210317
All Housing Types (Own) 0-1 BR,Second Tercile,54000 to 120000,0.08665906,0.06613455,0.01596351,0.004561,2631.0,0.06854959,-0.02610501,0.19942314,1.3012381
All Housing Types (Own) 0-1 BR,Third Tercile ,Above 120000,0.08784259,0.0794097,0.00456781,0.00386507,2846.0,0.04353253,0.01623157,0.1594536,0.81521975
All Housing Types (Own) 2 BR,All Values,,0.10176375,0.04499016,0.0212854,0.0354882,79773.0,0.00740975,0.08957471,0.1139528,0.11977784
All Housing Types (Own) 2 BR,First Tercile,Below 73000,0.09987009,0.0488525,0.02169035,0.02932724,25403.0,0.00995411,0.08349558,0.11624461,0.16395812
All Housing Types (Own) 2 BR,Second Tercile,73000 to 130000,0.12295112,0.05318714,0.02523694,0.04452704,26905.0,0.01461119,0.09891572,0.14698653,0.19548751
All Housing Types (Own) 2 BR,Third Tercile ,Above 130000,0.08275988,0.03338795,0.01703987,0.03233206,27465.0,0.01002302,0.06627201,0.09924775,0.19922542
All Housing Types (Own) 3 BR,All Values,,0.27429295,0.11724871,0.06478916,0.09225508,251184.0,0.00722848,0.2624021,0.2861838,0.04335092
All Housing Types (Own) 3 BR,First Tercile,Below 106000,0.29154136,0.11862225,0.0738952,0.09902391,78476.0,0.01598931,0.26523895,0.31784377,0.09021845
All Housing Types (Own) 3 BR,Second Tercile,106000 to 188000,0.25859414,0.11330944,0.05707983,0.08820488,87036.0,0.01325261,0.2367936,0.28039469,0.08430411
All Housing Types (Own) 3 BR,Third Tercile ,Above 188000,0.27444206,0.11999253,0.06428004,0.09016948,85672.0,0.01364798,0.25199113,0.29689299,0.08180571
All Housing Types (Own) 4-5 BR,All Values,,0.56810029,0.21632016,0.15109307,0.20068707,112070.0,0.01949078,0.53603797,0.60016262,0.0564378
All Housing Types (Own) 4-5 BR,First Tercile,Below 150000,0.56029009,0.22202782,0.14671106,0.1915512,35437.0,0.03822861,0.49740403,0.62317616,0.1122384
All Housing Types (Own) 4-5 BR,Second Tercile,150000 to 270000,0.55046073,0.22485191,0.15703159,0.16857723,36464.0,0.03702485,0.48955484,0.61136661,0.11064528
All Housing Types (Own) 4-5 BR,Third Tercile ,Above 270000,0.59100301,0.20354004,0.14956807,0.23789489,40169.0,0.03452646,0.53420699,0.64779903,0.09610107
All Housing Types (Rent) 0-1 BR,All Values,,0.0296796,0.01031219,0.00607957,0.01328784,38983.0,0.00616246,0.01954236,0.03981685,0.34155602
All Housing Types (Rent) 0-1 BR,First Tercile,Below 50000,0.01490762,0.00325113,0.0,0.01165649,12611.0,0.00692674,0.00351313,0.02630211,0.76434008
All Housing Types (Rent) 0-1 BR,Second Tercile,50000 to 77000,0.01347566,0.00060565,0.003861,0.00900901,13209.0,0.005854,0.00384583,0.02310549,0.71460912
All Housing Types (Rent) 0-1 BR,Third Tercile ,Above 77000,0.06009268,0.02681759,0.01413052,0.01914457,13163.0,0.01589242,0.03394966,0.08623571,0.43504508
All Housing Types (Rent) 2 BR,All Values,,0.20296825,0.1119107,0.04515191,0.04590564,55723.0,0.01627779,0.1761913,0.22974521,0.13192682
All Housing Types (Rent) 2 BR,First Tercile,Below 76000,0.17998244,0.11248903,0.02595478,0.04153863,18224.0,0.02396886,0.14055367,0.21941121,0.21907008
All Housing Types (Rent) 2 BR,Second Tercile,76000 to 100000,0.22398214,0.1128415,0.06054002,0.05060062,18814.0,0.03014641,0.17439129,0.27357299,0.22140537
All Housing Types (Rent) 2 BR,Third Tercile ,Above 100000,0.20422799,0.11040942,0.04838105,0.04543752,18685.0,0.02625039,0.1610461,0.24740988,0.21143962
All Housing Types (Rent) 3 BR,All Values,,0.6096545,0.28213175,0.15611537,0.17140738,35051.0,0.04813578,0.53047114,0.68883787,0.12988236
All Housing Types (Rent) 3 BR,First Tercile,Below 90000,0.45892499,0.22798153,0.11325028,0.11769318,11479.0,0.06381149,0.35395509,0.56389489,0.22872997
All Housing Types (Rent) 3 BR,Second Tercile,90000 to 119000,0.67007673,0.33674339,0.16922421,0.16410912,11730.0,0.08189763,0.53535513,0.80479832,0.20105398
All Housing Types (Rent) 3 BR,Third Tercile ,Above 119000,0.69591285,0.28052694,0.18468164,0.23070427,11842.0,0.0852471,0.55568137,0.83614434,0.20150725
All Housing Types (Rent) 4-5 BR,All Values,,1.0096829,0.51287508,0.23653969,0.26026814,9398.0,0.12136586,0.81003607,1.2093298,0.19773222
All Housing Types (Rent) 4-5 BR,First Tercile,Below 92000,0.6494709,0.42824074,0.13458995,0.08664021,3024.0,0.14250566,0.41504909,0.88389271,0.36094275
All Housing Types (Rent) 4-5 BR,Second Tercile,92000 to 138000,1.1667202,0.6321876,0.26405397,0.27047864,3113.0,0.21132088,0.81909735,1.5143431,0.29794877
All Housing Types (Rent) 4-5 BR,Third Tercile ,Above 138000,1.1938056,0.4774609,0.30481447,0.41153021,3261.0,0.23676984,0.80431919,1.583292,0.32625613
