Structure,VALUE_TENURE,value_range,PERSONS,0-4,17-May,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
All Housing Types (Own) 2 BR,    Below Median,340000,1.8144878,0.05785578,0.13073428,0.1969808,0.20511505,0.14227612,0.22116371,0.41473692,0.44562509," 27,292 ",0.099,1.652,1.977,9%
All Housing Types (Own) 2 BR,    Above Median,340000,1.971396,0.10095093,0.10091289,0.27675922,0.27272727,0.1517307,0.25777862,0.42400152,0.3865348," 26,290 ",0.100,1.806,2.137,8%
All Housing Types (Own) 3 BR,All Values,,2.721159,0.16417727,0.44097922,0.44618729,0.38588906,0.39801258,0.3831499,0.32398172,0.178782," 81,412 ",0.082,2.585,2.857,5%
All Housing Types (Own) 3 BR,    Below Median,387000,2.7034189,0.16362535,0.43347549,0.52373628,0.37334825,0.39837796,0.36190543,0.29518283,0.15376727," 42,909 ",0.110,2.523,2.884,7%
All Housing Types (Own) 3 BR,    Above Median,387000,2.7409293,0.16479235,0.44934161,0.35976417,0.39986495,0.39760538,0.40682544,0.35607615,0.20665922," 38,503 ",0.107,2.565,2.916,6%
All Housing Types (Own) 4-5 BR,All Values,,3.6207737,0.23558791,0.95690341,0.52361805,0.52186574,0.69007026,0.42727504,0.17920088,0.08625243," 118,130 ",0.090,3.473,3.768,4%
All Housing Types (Own) 4-5 BR,    Below Median,561000,3.6188425,0.24646498,0.98719171,0.54069385,0.53748767,0.64390003,0.39759947,0.1726899,0.09281486," 60,820 ",0.129,3.407,3.831,6%
All Housing Types (Own) 4-5 BR,    Above Median,561000,3.6228232,0.22404467,0.92476008,0.50549642,0.50528704,0.73906823,0.4587681,0.18611063,0.07928808," 57,310 ",0.112,3.439,3.806,5%
All Housing Types (Rent) 0-1 BR,All Values,,1.5117332,0.05967212,0.05742313,0.63258663,0.19890214,0.12652029,0.1301305,0.14970556,0.15679283," 67,586 ",0.054,1.423,1.601,6%
All Housing Types (Rent) 0-1 BR,    Below Median,178000,1.4422198,0.06652316,0.0754283,0.35582225,0.13652582,0.13431427,0.17477074,0.24984519,0.24899006," 33,913 ",0.068,1.330,1.554,8%
All Housing Types (Rent) 0-1 BR,    Above Median,178000,1.581742,0.05277225,0.03928964,0.91132361,0.26172304,0.11867075,0.0851721,0.0488522,0.06393847," 33,673 ",0.081,1.448,1.715,8%
All Housing Types (Rent) 2 BR,All Values,,2.3989428,0.23272781,0.3419595,0.76465158,0.39597975,0.2706075,0.18149196,0.11427933,0.09724538," 67,160 ",0.095,2.243,2.555,7%
All Housing Types (Rent) 2 BR,    Below Median,219000,2.5146708,0.24747132,0.47090914,0.73277108,0.35531244,0.29164578,0.18569196,0.12158297,0.10928607," 33,911 ",0.148,2.271,2.758,10%
All Housing Types (Rent) 2 BR,    Above Median,219000,2.2809107,0.21769076,0.21044242,0.79716683,0.43745677,0.24915035,0.17720834,0.10683028,0.08496496," 33,249 ",0.117,2.088,2.474,8%
All Housing Types (Rent) 3 BR,All Values,,3.5639673,0.38767741,0.85964268,1.0201703,0.54349641,0.35919185,0.23890466,0.10803139,0.04685256," 29,945 ",0.190,3.252,3.876,9%
All Housing Types (Rent) 3 BR,    Below Median,210000,3.7031557,0.46163415,1.0109991,1.0187901,0.50785649,0.34784601,0.21860678,0.0955218,0.04190127," 15,274 ",0.283,3.237,4.169,13%
