Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 73000,1.1685733,0.02759768,0.02359211,0.31654163,0.11840185,0.16606131,0.22295394,0.17061,0.12281476
"5-49 Units (Rent), 0-1 BR",Second Tercile,73000 to 97000,1.2695669,0.03104163,0.02631579,0.61193112,0.18715608,0.13740532,0.14578883,0.07428627,0.05564187
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 97000,1.2998981,0.0189039,0.01660256,0.80067068,0.15415721,0.08942368,0.08429497,0.06710063,0.06874445
"5-49 Units (Rent), 2 BR",All Values,,2.0009803,0.16892183,0.24021805,0.88084978,0.22074033,0.15757778,0.16515125,0.08887788,0.07864345
"5-49 Units (Rent), 2 BR",First Tercile,Below 86000,1.8979572,0.17759473,0.24645799,0.72794069,0.16375618,0.15196046,0.19502471,0.13051071,0.1047117
"5-49 Units (Rent), 2 BR",Second Tercile,86000 to 114000,2.0121487,0.19251096,0.23601444,0.95066383,0.22119103,0.15880382,0.15174658,0.05893916,0.04227894
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 114000,2.0894027,0.13726862,0.23834362,0.95954456,0.27530055,0.16178996,0.14954519,0.0782393,0.08937091
"5-49 Units (Rent), 3 BR",All Values,,3.0910899,0.37610075,0.79272796,1.0457343,0.33510084,0.27005018,0.09336237,0.12290503,0.05510842
"5-49 Units (Rent), 3 BR",First Tercile,Below 97000,3.0035388,0.50663521,0.91801828,0.94750811,0.3214391,0.1518726,0.06664701,0.0504276,0.04099086
"5-49 Units (Rent), 3 BR",Second Tercile,97000 to 134000,3.0825925,0.32520792,0.72182392,1.0937769,0.34958417,0.2388873,0.10324061,0.17550903,0.07456266
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 134000,3.1797448,0.30409992,0.74450176,1.0906869,0.33396687,0.40836275,0.10860711,0.13983166,0.04968775
"50+ Units (Own), 0-1 BR",All Values,,1.2670455,0.00820707,0.02272727,0.32512626,0.23737374,0.23926768,0.0915404,0.1489899,0.19381313
"50+ Units (Own), 0-1 BR",First Tercile,Below 128000,1.2958716,0.0,0.08256881,0.30504587,0.28440367,0.15137615,0.10321101,0.19954128,0.16972477
"50+ Units (Own), 0-1 BR",Second Tercile,128000 to 209000,1.1676647,0.0,0.0,0.40319361,0.22954092,0.11576846,0.0758483,0.10179641,0.24151697
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 209000,1.324575,0.02009274,0.0,0.27820711,0.21174652,0.39412674,0.09582689,0.15146832,0.17310665
"50+ Units (Own), 2 BR",All Values,,1.452937,0.01380042,0.02087757,0.24345364,0.22434536,0.09483369,0.2388535,0.23602265,0.38075018
"50+ Units (Own), 2 BR",First Tercile,Below 167000,1.6950935,0.03738318,0.05724299,0.33411215,0.17172897,0.16471963,0.14485981,0.14252336,0.64252336
"50+ Units (Own), 2 BR",Second Tercile,167000 to 290000,1.1783217,0.0,0.0,0.17365967,0.48834499,0.03613054,0.19463869,0.07575758,0.20979021
"50+ Units (Own), 2 BR",Third Tercile ,Above 290000,1.4784173,0.00629496,0.00899281,0.22751799,0.06115108,0.08633094,0.34532374,0.43165468,0.31115108
"50+ Units (Own), 3 BR",All Values,,1.5634921,0.0,0.02267574,0.20861678,0.03628118,0.04421769,0.5521542,0.32199546,0.37755102
"50+ Units (Own), 3 BR",First Tercile,Below 262000,1.4883721,0.0,0.0,0.0,0.0,0.09302326,0.72093023,0.31162791,0.3627907
"50+ Units (Own), 3 BR",Second Tercile,262000 to 461000,1.5613208,0.0,0.09433962,0.29245283,0.1509434,0.0,0.18396226,0.31132075,0.52830189
"50+ Units (Own), 3 BR",Third Tercile ,Above 461000,1.6,0.0,0.0,0.26813187,0.0,0.04175824,0.64395604,0.33186813,0.31428571
