Structure,VALUE_TENURE,value_range,PERSONS,0-4,17-May,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"50+ Units (Rent), 3 BR",Third Tercile ,Above 310000,3.0467009,0.28963153,0.38431877,1.1906598,0.44344473,0.32862039,0.23393316,0.09425878,0.08183376," 2,334 ",0.498,2.227,3.866,27%
All Housing Types (Own) 0-1 BR,All Values,,1.5453566,0.040676,0.07609146,0.27193273,0.19649021,0.20703891,0.27102146,0.2444288,0.23767708," 72,426 ",0.044,1.473,1.618,5%
All Housing Types (Own) 0-1 BR,First Tercile,Below 171000,1.4273294,0.04576106,0.05992621,0.19805759,0.1585309,0.15810679,0.27541456,0.27376055,0.25777175," 23,579 ",0.069,1.314,1.541,8%
All Housing Types (Own) 0-1 BR,Second Tercile,171000 to 324000,1.4794731,0.02020719,0.06398943,0.26303449,0.19806454,0.20966023,0.29095792,0.22769323,0.20586605," 23,457 ",0.077,1.352,1.606,9%
All Housing Types (Own) 0-1 BR,Third Tercile ,Above 324000,1.715833,0.05486412,0.10228436,0.34875935,0.23028751,0.25005908,0.24852304,0.23265065,0.24840488," 25,390 ",0.102,1.548,1.884,10%
All Housing Types (Own) 2 BR,All Values,,1.9711452,0.06485252,0.1551859,0.28553638,0.21465978,0.25094601,0.35508415,0.33555398,0.30932644," 395,081 ",0.024,1.932,2.010,2%
All Housing Types (Own) 2 BR,First Tercile,Below 210000,1.8397684,0.04706148,0.13032224,0.25529805,0.17872234,0.23644442,0.35066286,0.32072124,0.32053577," 124,008 ",0.045,1.767,1.913,4%
All Housing Types (Own) 2 BR,Second Tercile,210000 to 340000,1.9566377,0.06092732,0.15998869,0.2751781,0.21480876,0.24848656,0.35961721,0.33437796,0.30325313," 130,828 ",0.045,1.883,2.031,4%
All Housing Types (Own) 2 BR,Third Tercile ,Above 340000,2.1008449,0.08424543,0.17269065,0.32193661,0.24629755,0.26606296,0.35476488,0.34976648,0.3050804," 140,245 ",0.052,2.016,2.186,4%
All Housing Types (Own) 3 BR,All Values,,2.7214346,0.13588762,0.39900163,0.48063261,0.34062399,0.39913676,0.44088837,0.32061732,0.20464628," 865,811 ",0.021,2.687,2.756,1%
All Housing Types (Own) 3 BR,First Tercile,Below 267000,2.6618536,0.1263125,0.3818401,0.52239855,0.32870416,0.37665687,0.42073359,0.30553603,0.19967179," 284,572 ",0.039,2.598,2.725,2%
All Housing Types (Own) 3 BR,Second Tercile,267000 to 410000,2.7180688,0.13571595,0.385794,0.48946301,0.34640544,0.39345498,0.44192906,0.32016075,0.20514559," 278,685 ",0.042,2.648,2.788,3%
All Housing Types (Own) 3 BR,Third Tercile ,Above 410000,2.7805747,0.14505179,0.42730884,0.43321523,0.34651004,0.42551412,0.45888668,0.3352228,0.20886519," 302,554 ",0.039,2.717,2.845,2%
All Housing Types (Own) 4-5 BR,All Values,,3.3564905,0.18380354,0.66964351,0.58903752,0.40995164,0.5289629,0.5097121,0.29888063,0.16649862," 778,565 ",0.026,3.314,3.399,1%
All Housing Types (Own) 4-5 BR,First Tercile,Below 378000,3.365896,0.18282911,0.60475176,0.7054012,0.3934046,0.47702748,0.49567662,0.31180472,0.19500048," 239,743 ",0.052,3.280,3.451,3%
All Housing Types (Own) 4-5 BR,Second Tercile,378000 to 600000,3.3583668,0.18209232,0.65641532,0.60211687,0.41133335,0.53168564,0.50648753,0.30385885,0.16437695," 267,282 ",0.050,3.276,3.441,2%
All Housing Types (Own) 4-5 BR,Third Tercile ,Above 600000,3.3463394,0.18634824,0.73995728,0.47342565,0.423201,0.5721367,0.52527804,0.28256979,0.1434227," 271,540 ",0.043,3.276,3.417,2%
All Housing Types (Rent) 0-1 BR,All Values,,1.5569307,0.07901048,0.09917816,0.46628805,0.21731353,0.1750526,0.20314226,0.17063768,0.14630795," 482,455 ",0.016,1.531,1.583,2%
All Housing Types (Rent) 0-1 BR,First Tercile,Below 113000,1.3303599,0.04738303,0.05868668,0.18871026,0.11294799,0.13562483,0.23793297,0.28837583,0.26069832," 158,179 ",0.027,1.286,1.375,3%
All Housing Types (Rent) 0-1 BR,Second Tercile,113000 to 157000,1.655255,0.10324074,0.13054636,0.50888033,0.24880303,0.21543565,0.22294362,0.13654658,0.08885867," 162,494 ",0.034,1.599,1.712,3%
All Housing Types (Rent) 0-1 BR,Third Tercile ,Above 157000,1.6796986,0.08559667,0.10726162,0.69490425,0.28772669,0.1730415,0.14923786,0.08976277,0.09216724," 161,782 ",0.032,1.627,1.732,3%
All Housing Types (Rent) 2 BR,All Values,,2.6046326,0.22323362,0.47066481,0.71032273,0.41295052,0.32613374,0.24593136,0.12563011,0.08976574," 434,052 ",0.034,2.548,2.661,2%
All Housing Types (Rent) 2 BR,First Tercile,Below 145000,2.4686642,0.21327237,0.46876926,0.61139432,0.33951179,0.31651588,0.24990897,0.15142009,0.11787155," 142,808 ",0.058,2.373,2.565,4%
All Housing Types (Rent) 2 BR,Second Tercile,145000 to 194000,2.7798859,0.23503647,0.55561801,0.73315146,0.43442915,0.36151705,0.26634816,0.12353312,0.07025252," 145,888 ",0.068,2.668,2.891,4%
All Housing Types (Rent) 2 BR,Third Tercile ,Above 194000,2.5623228,0.22117422,0.387263,0.78460469,0.46354468,0.30007017,0.22153196,0.10239687,0.08173725," 145,356 ",0.064,2.458,2.667,4%
All Housing Types (Rent) 3 BR,All Values,,3.6091049,0.30638158,0.90150024,0.97920997,0.56343246,0.41046569,0.28303726,0.10888784,0.0561899," 216,498 ",0.073,3.489,3.729,3%
All Housing Types (Rent) 3 BR,First Tercile,Below 166000,3.4296799,0.29069029,0.93008197,0.91569206,0.48625199,0.34643003,0.28022234,0.10854507,0.07176615," 70,883 ",0.115,3.240,3.619,6%
All Housing Types (Rent) 3 BR,Second Tercile,166000 to 220000,3.8365751,0.35143069,0.97399248,1.0195605,0.59409893,0.46651669,0.27048641,0.11264437,0.04784505," 72,902 ",0.130,3.622,4.051,6%
All Housing Types (Rent) 3 BR,Third Tercile ,Above 220000,3.5559529,0.27651177,0.80095719,1.0006739,0.60792431,0.41669303,0.2983648,0.1054557,0.04937219," 72,713 ",0.130,3.342,3.770,6%
All Housing Types (Rent) 4-5 BR,All Values,,4.5746524,0.41680032,1.2913074,1.2499481,0.63406857,0.52110417,0.27291081,0.12120983,0.06730316," 52,999 ",0.173,4.289,4.860,6%
All Housing Types (Rent) 4-5 BR,First Tercile,Below 193000,4.2010117,0.40679427,1.11456,1.1396793,0.55509571,0.48778525,0.24647928,0.15324481,0.09737311," 17,397 ",0.317,3.680,4.722,12%
