Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12)
"50+ Units (Rent), 2 BR",First Tercile,Below 158000,0.23564675,0.1197083,0.05747482,0.05846363
"50+ Units (Rent), 2 BR",Second Tercile,158000 to 233000,0.28820235,0.15139393,0.07698935,0.05981907
"50+ Units (Rent), 2 BR",Third Tercile ,Above 233000,0.1278053,0.05943864,0.02378768,0.04457898
"50+ Units (Rent), 3 BR",All Values,,0.71564818,0.32002826,0.17237725,0.22324267
"50+ Units (Rent), 3 BR",First Tercile,Below 177000,0.85729788,0.41725448,0.17851329,0.26153011
"50+ Units (Rent), 3 BR",Second Tercile,177000 to 223000,0.57311321,0.31367925,0.09964623,0.15978774
"50+ Units (Rent), 3 BR",Third Tercile ,Above 223000,0.70654734,0.24069713,0.22515309,0.24069713
All Housing Types (Own) 0-1 BR,All Values,,0.05169601,0.0228411,0.01358324,0.01527166
All Housing Types (Own) 0-1 BR,First Tercile,Below 223000,0.05272879,0.02347474,0.01924452,0.01000953
All Housing Types (Own) 0-1 BR,Second Tercile,223000 to 419000,0.05386378,0.02492038,0.01022518,0.01871822
All Housing Types (Own) 0-1 BR,Third Tercile ,Above 419000,0.048583,0.02018745,0.01164661,0.01674893
All Housing Types (Own) 2 BR,All Values,,0.12326209,0.05768355,0.02870975,0.03686879
All Housing Types (Own) 2 BR,First Tercile,Below 265000,0.16086019,0.07734928,0.03493625,0.04857466
All Housing Types (Own) 2 BR,Second Tercile,265000 to 450000,0.10909631,0.04970349,0.02670277,0.03269004
All Housing Types (Own) 2 BR,Third Tercile ,Above 450000,0.10310369,0.0476845,0.02504773,0.03037146
All Housing Types (Own) 3 BR,All Values,,0.29963606,0.13164733,0.06945058,0.09853815
All Housing Types (Own) 3 BR,First Tercile,Below 324000,0.33126566,0.14352459,0.07951807,0.10822299
All Housing Types (Own) 3 BR,Second Tercile,324000 to 500000,0.28891309,0.12903416,0.06786881,0.09201011
All Housing Types (Own) 3 BR,Third Tercile ,Above 500000,0.28165091,0.12352991,0.06195907,0.09616193
All Housing Types (Own) 4-5 BR,All Values,,0.57637455,0.23485929,0.14238893,0.19912634
All Housing Types (Own) 4-5 BR,First Tercile,Below 413000,0.6113295,0.23642777,0.1580823,0.21681942
All Housing Types (Own) 4-5 BR,Second Tercile,413000 to 680000,0.57621051,0.24113012,0.13562766,0.19945274
All Housing Types (Own) 4-5 BR,Third Tercile ,Above 680000,0.54332948,0.22737969,0.1339409,0.18200889
All Housing Types (Rent) 0-1 BR,All Values,,0.04132555,0.022085,0.00888572,0.01035483
All Housing Types (Rent) 0-1 BR,First Tercile,Below 107000,0.03855683,0.0202333,0.00742404,0.01089949
All Housing Types (Rent) 0-1 BR,Second Tercile,107000 to 172000,0.06577637,0.03591826,0.01610364,0.01375448
All Housing Types (Rent) 0-1 BR,Third Tercile ,Above 172000,0.01974107,0.010154,0.00314774,0.00643933
All Housing Types (Rent) 2 BR,All Values,,0.30453886,0.16106635,0.07231913,0.07115339
All Housing Types (Rent) 2 BR,First Tercile,Below 129000,0.34709053,0.18416483,0.08260022,0.08032548
All Housing Types (Rent) 2 BR,Second Tercile,129000 to 188000,0.32513637,0.17232099,0.07888204,0.07393334
All Housing Types (Rent) 2 BR,Third Tercile ,Above 188000,0.24192939,0.12700609,0.05560338,0.05931992
All Housing Types (Rent) 3 BR,All Values,,0.69223834,0.31459701,0.16742811,0.21021322
All Housing Types (Rent) 3 BR,First Tercile,Below 160000,0.77004281,0.35991898,0.18582849,0.22429534
All Housing Types (Rent) 3 BR,Second Tercile,160000 to 222000,0.71838538,0.31997304,0.17320452,0.22520782
All Housing Types (Rent) 3 BR,Third Tercile ,Above 222000,0.5898722,0.26484855,0.14362733,0.18139633
All Housing Types (Rent) 4-5 BR,All Values,,0.95156918,0.4067366,0.2342905,0.31054208
All Housing Types (Rent) 4-5 BR,First Tercile,Below 187000,0.96571624,0.43414697,0.23870389,0.29286539
All Housing Types (Rent) 4-5 BR,Second Tercile,187000 to 274000,1.0596542,0.44338412,0.25042794,0.36584218
All Housing Types (Rent) 4-5 BR,Third Tercile ,Above 274000,0.83098354,0.34352047,0.21401435,0.27344871
