Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"5-49 Units (Own), 3 BR",Second Tercile,143000 to 262000,1.9284897,0.04118993,0.25572082,0.16075515,0.28375286,0.03318078,0.31235698,0.59382151,0.24771167
"5-49 Units (Own), 3 BR",Third Tercile ,Above 262000,1.6716418,0.01203659,0.12903226,0.14877227,0.12518055,0.1603274,0.31295137,0.46942706,0.3139143
"5-49 Units (Rent), 0-1 BR",All Values,,1.334132,0.04143913,0.05343809,0.59835061,0.13544337,0.14220439,0.16135443,0.11536461,0.08653739
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 87000,1.2517363,0.05550495,0.03392918,0.29329386,0.11328703,0.17112604,0.22566321,0.21461915,0.14431288
"5-49 Units (Rent), 0-1 BR",Second Tercile,87000 to 121000,1.35757,0.0343151,0.08181971,0.72900017,0.14804672,0.10361594,0.14827027,0.07690158,0.03560051
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 121000,1.3900647,0.03493117,0.04445291,0.76271832,0.14434953,0.15213015,0.11262854,0.05794657,0.08090756
"5-49 Units (Rent), 2 BR",All Values,,2.1104986,0.17197196,0.32187944,0.81653639,0.3009226,0.19057509,0.16887563,0.09155559,0.04818185
"5-49 Units (Rent), 2 BR",First Tercile,Below 100000,2.0811935,0.2290053,0.40612004,0.6739288,0.27231104,0.17463467,0.18352474,0.09710405,0.04456484
"5-49 Units (Rent), 2 BR",Second Tercile,100000 to 133000,2.132313,0.15666466,0.34488088,0.87884499,0.32554282,0.18301417,0.14354644,0.06732509,0.03249397
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 133000,2.1175876,0.13121444,0.21638215,0.89457922,0.30454477,0.21372417,0.17965708,0.1101752,0.06731057
"5-49 Units (Rent), 3 BR",All Values,,3.2778839,0.31279422,0.94560708,1.0711722,0.42027499,0.2700536,0.15259846,0.06846889,0.03691447
"5-49 Units (Rent), 3 BR",First Tercile,Below 112000,3.1722007,0.43265775,1.1034929,0.8828518,0.37473049,0.19045566,0.11614202,0.02745436,0.0444157
"5-49 Units (Rent), 3 BR",Second Tercile,112000 to 157000,3.3096539,0.30601093,0.85259913,1.1099902,0.41796273,0.29928541,0.20610901,0.08743169,0.03026482
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 157000,3.3469637,0.20608613,0.88656433,1.2115202,0.46556174,0.31694063,0.13517185,0.08884662,0.03627225
"50+ Units (Own), 0-1 BR",All Values,,1.193133,0.0,0.0,0.1748927,0.07725322,0.06223176,0.32939914,0.36909871,0.18025751
"50+ Units (Own), 0-1 BR",First Tercile,Below 138000,1.0688406,0.0,0.0,0.11231884,0.09057971,0.05797101,0.11956522,0.48913043,0.19927536
"50+ Units (Own), 0-1 BR",Second Tercile,138000 to 205000,1.1604938,0.0,0.0,0.0,0.1399177,0.0,0.65020576,0.30864198,0.0617284
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 205000,1.2953995,0.0,0.0,0.31961259,0.031477,0.10169492,0.28087167,0.32445521,0.23728814
"50+ Units (Own), 2 BR",All Values,,1.704372,0.01318529,0.05343511,0.2463567,0.11311589,0.15961138,0.3907009,0.44691187,0.28105482
"50+ Units (Own), 2 BR",First Tercile,Below 167000,1.3801453,0.0,0.0,0.21549637,0.05811138,0.03874092,0.4188862,0.36803874,0.28087167
"50+ Units (Own), 2 BR",Second Tercile,167000 to 309000,1.675835,0.01178782,0.0,0.42829077,0.08447937,0.07662083,0.38310413,0.54420432,0.14734774
"50+ Units (Own), 2 BR",Third Tercile ,Above 309000,1.9903661,0.02504817,0.14836224,0.09248555,0.1849711,0.3371869,0.37572254,0.41425819,0.41233141
"50+ Units (Own), 3 BR",All Values,,1.6931964,0.0,0.02310655,0.09114249,0.10783055,0.06161746,0.42875481,0.60590501,0.37483954
"50+ Units (Own), 3 BR",First Tercile,Below 258000,1.8193833,0.0,0.04405286,0.10572687,0.20704846,0.0,0.32599119,0.81938326,0.31718062
"50+ Units (Own), 3 BR",Second Tercile,258000 to 387000,1.6206897,0.0,0.0,0.23152709,0.02463054,0.11330049,0.37931034,0.49753695,0.37438424
"50+ Units (Own), 3 BR",Third Tercile ,Above 387000,1.6532951,0.0,0.02292264,0.0,0.09169054,0.07163324,0.5243553,0.53008596,0.41260745
"50+ Units (Rent), 0-1 BR",All Values,,1.258472,0.02358618,0.02873719,0.55077807,0.09054926,0.07992192,0.09445318,0.12465434,0.2657919
"50+ Units (Rent), 0-1 BR",First Tercile,Below 89000,1.2960326,0.0245846,0.05832486,0.30298406,0.04662597,0.09443879,0.19328586,0.28263818,0.29315022
"50+ Units (Rent), 0-1 BR",Second Tercile,89000 to 139000,1.1864111,0.0123535,0.02138106,0.68435223,0.12084257,0.08124802,0.04497941,0.03943617,0.18181818
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 139000,1.2959397,0.03402343,0.00818488,0.64997593,0.10142834,0.0648371,0.05103515,0.06146686,0.32498796
"50+ Units (Rent), 2 BR",All Values,,1.909538,0.09098893,0.15536624,0.83093272,0.21078517,0.18777446,0.14544177,0.09977165,0.18847708
"50+ Units (Rent), 2 BR",First Tercile,Below 127000,1.9924426,0.14817814,0.21646424,0.8391363,0.16707152,0.151417,0.16221323,0.13036437,0.17759784
"50+ Units (Rent), 2 BR",Second Tercile,127000 to 171000,1.9298292,0.08331143,0.17897503,0.91721419,0.2848883,0.18081472,0.13929041,0.08068331,0.06465177
"50+ Units (Rent), 2 BR",Third Tercile ,Above 171000,1.8103715,0.04385965,0.07378741,0.73839009,0.17982456,0.22936017,0.13544892,0.08926729,0.32043344
"50+ Units (Rent), 3 BR",All Values,,3.235905,0.21253709,0.66097923,1.4762611,0.4254451,0.2351632,0.06268546,0.11275964,0.05007418
"50+ Units (Rent), 3 BR",First Tercile,Below 135000,3.9612591,0.29903148,0.57384988,2.1598063,0.52663438,0.21186441,0.08958838,0.07384988,0.02663438
"50+ Units (Rent), 3 BR",Second Tercile,135000 to 185000,2.8289017,0.20924855,0.8,1.0196532,0.55722543,0.06358382,0.0,0.1283237,0.05086705
"50+ Units (Rent), 3 BR",Third Tercile ,Above 185000,2.9900498,0.14427861,0.61293532,1.3074627,0.22885572,0.40199005,0.09452736,0.13134328,0.06865672
All Housing Types (Own) 0-1 BR,All Values,,1.6577416,0.0378735,0.08451688,0.24641055,0.20411331,0.19464494,0.33333333,0.35731471,0.19953434
All Housing Types (Own) 0-1 BR,First Tercile,Below 86000,1.5431775,0.01717557,0.0956584,0.23067748,0.14837786,0.19847328,0.3461355,0.29770992,0.20896947
All Housing Types (Own) 0-1 BR,Second Tercile,86000 to 175000,1.6565921,0.01880057,0.05711566,0.26725369,0.23631604,0.21680152,0.27701095,0.3710138,0.21227987
All Housing Types (Own) 0-1 BR,Third Tercile ,Above 175000,1.7657537,0.07503897,0.09975507,0.2415943,0.22600757,0.17034068,0.3740815,0.4001336,0.17880205
All Housing Types (Own) 2 BR,All Values,,1.8277042,0.04303473,0.10224413,0.26337718,0.15244564,0.2178467,0.34879883,0.40321448,0.29674256
All Housing Types (Own) 2 BR,First Tercile,Below 101000,1.8253232,0.04123426,0.12812606,0.26858625,0.17314563,0.24991494,0.37227799,0.32804525,0.26399285
All Housing Types (Own) 2 BR,Second Tercile,101000 to 193000,1.79696,0.0471306,0.08969083,0.30557336,0.16993072,0.21766105,0.34470065,0.37377727,0.2484955
All Housing Types (Own) 2 BR,Third Tercile ,Above 193000,1.8588843,0.04082309,0.09034523,0.21880242,0.11696899,0.18860932,0.33112932,0.49992198,0.37228399
All Housing Types (Own) 3 BR,All Values,,2.384713,0.10824122,0.2997691,0.4068739,0.26503083,0.30897334,0.39189576,0.3756382,0.22829065
All Housing Types (Own) 3 BR,First Tercile,Below 150000,2.4229613,0.10900004,0.32577057,0.43164297,0.2660882,0.31840261,0.38464883,0.34568184,0.24172624
All Housing Types (Own) 3 BR,Second Tercile,150000 to 244000,2.3910487,0.11958347,0.31169846,0.4663264,0.28284303,0.3009815,0.37013718,0.33977244,0.19970618
All Housing Types (Own) 3 BR,Third Tercile ,Above 244000,2.3423331,0.09631167,0.26342346,0.3247103,0.24642313,0.30797042,0.42024942,0.43938197,0.24386271
All Housing Types (Own) 4-5 BR,All Values,,3.1109192,0.18537937,0.67044977,0.48231719,0.43521535,0.44403012,0.41003549,0.31442718,0.16906475
All Housing Types (Own) 4-5 BR,First Tercile,Below 237000,3.1041832,0.17355328,0.61749677,0.59075479,0.40170441,0.40947506,0.40778656,0.29432981,0.20908255
All Housing Types (Own) 4-5 BR,Second Tercile,237000 to 393000,3.2307454,0.21460253,0.74684534,0.52555529,0.50385951,0.44619035,0.38579631,0.27496218,0.13293392
All Housing Types (Own) 4-5 BR,Third Tercile ,Above 393000,3.0073338,0.16917151,0.64767332,0.34636064,0.40224021,0.47277944,0.4342006,0.36838547,0.16652256
All Housing Types (Rent) 0-1 BR,All Values,,1.3337039,0.04051076,0.05969803,0.53390879,0.14025557,0.13612813,0.17633924,0.12742862,0.11943472
All Housing Types (Rent) 0-1 BR,First Tercile,Below 75000,1.2274834,0.02916605,0.0477048,0.20634686,0.10580074,0.15651661,0.26934317,0.24041328,0.17219188
All Housing Types (Rent) 0-1 BR,Second Tercile,75000 to 116000,1.3965208,0.05230404,0.08886187,0.65827255,0.1591988,0.13280074,0.15775153,0.08014936,0.06718189
All Housing Types (Rent) 0-1 BR,Third Tercile ,Above 116000,1.3744683,0.03985042,0.04253376,0.72801233,0.15489138,0.11969399,0.10473581,0.06479975,0.1199509
All Housing Types (Rent) 2 BR,All Values,,2.1238771,0.16385556,0.30842076,0.76606047,0.28080177,0.2275792,0.20403292,0.11149151,0.06163494
All Housing Types (Rent) 2 BR,First Tercile,Below 92000,2.0791304,0.18456917,0.35411858,0.61372332,0.2570751,0.2293913,0.23982609,0.135083,0.06534387
All Housing Types (Rent) 2 BR,Second Tercile,92000 to 125000,2.1650899,0.18631347,0.34243141,0.79016083,0.30536108,0.23459477,0.18328603,0.08842636,0.03451593
All Housing Types (Rent) 2 BR,Third Tercile ,Above 125000,2.1272414,0.12136797,0.22999472,0.89202586,0.27991858,0.21888499,0.18930048,0.11103515,0.08471363
All Housing Types (Rent) 3 BR,All Values,,3.0897465,0.27075114,0.77086451,0.91458437,0.44964703,0.31316796,0.21586323,0.10694148,0.04792678
All Housing Types (Rent) 3 BR,First Tercile,Below 108000,2.9328506,0.26866589,0.75330738,0.78488968,0.39581483,0.28613066,0.248241,0.13662135,0.05917982
All Housing Types (Rent) 3 BR,Second Tercile,108000 to 151000,3.1885455,0.29038636,0.82290909,0.91331818,0.46247727,0.34495455,0.21538636,0.09384091,0.04527273
All Housing Types (Rent) 3 BR,Third Tercile ,Above 151000,3.1470409,0.25335106,0.73664647,1.0441551,0.49018901,0.30840974,0.18430242,0.09056298,0.03942418
All Housing Types (Rent) 4-5 BR,All Values,,3.8934056,0.29619206,1.0926968,1.2713849,0.53165173,0.35793204,0.21718435,0.07264957,0.05371413
All Housing Types (Rent) 4-5 BR,First Tercile,Below 120000,3.5784583,0.27402323,1.0362196,1.1657867,0.41499472,0.32101373,0.22893347,0.07655755,0.06092925
All Housing Types (Rent) 4-5 BR,Second Tercile,120000 to 193000,4.2348124,0.34200705,1.2923492,1.2908978,0.62398922,0.33298777,0.19593614,0.08811943,0.06852581
All Housing Types (Rent) 4-5 BR,Third Tercile ,Above 193000,3.8612663,0.27219119,0.94878957,1.3553693,0.55379681,0.41899441,0.22687772,0.05338299,0.03186427
