Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"50+ Units (Rent), 3 BR",First Tercile,Below 91000,1.0567986,0.42340792,0.42512909,0.20826162,581.0,0.40677283,0.38765732,1.7259399,0.63317768
"50+ Units (Rent), 3 BR",Second Tercile,91000 to 140000,0.73421053,0.29078947,0.18026316,0.26315789,760.0,0.37293643,0.1207301,1.3476909,0.83556473
"50+ Units (Rent), 3 BR",Third Tercile ,Above 140000,0.81829733,0.34307497,0.04828463,0.42693774,787.0,0.44428086,0.08745531,1.5491394,0.89312526
All Housing Types (Own) 0-1 BR,All Values,,0.12221562,0.06237006,0.02828928,0.03155628,13468.0,0.02193052,0.08613991,0.15829133,0.29518086
All Housing Types (Own) 0-1 BR,First Tercile,Below 65000,0.06395768,0.04664583,0.0,0.01731185,4159.0,0.02323863,0.02573014,0.10218523,0.59770059
All Housing Types (Own) 0-1 BR,Second Tercile,65000 to 147000,0.12915683,0.04634199,0.04634199,0.03647286,4661.0,0.05068487,0.04578021,0.21253345,0.64554555
All Housing Types (Own) 0-1 BR,Third Tercile ,Above 147000,0.16738382,0.09251291,0.03549914,0.03937177,4648.0,0.04458154,0.09404719,0.24072045,0.4381345
All Housing Types (Own) 2 BR,All Values,,0.12941213,0.06465915,0.02607009,0.03868289,127886.0,0.00787693,0.11645459,0.14236968,0.1001262
All Housing Types (Own) 2 BR,First Tercile,Below 80000,0.17990424,0.08433387,0.03611559,0.05945478,41561.0,0.01758356,0.15097929,0.20882919,0.16077971
All Housing Types (Own) 2 BR,Second Tercile,80000 to 152000,0.1134882,0.06420485,0.02424157,0.02504178,42489.0,0.01367015,0.09100081,0.13597559,0.19814738
All Housing Types (Own) 2 BR,Third Tercile ,Above 152000,0.09697509,0.04644584,0.01831828,0.03221097,43836.0,0.01112492,0.0786746,0.11527558,0.1887133
All Housing Types (Own) 3 BR,All Values,,0.32902312,0.14171767,0.07808464,0.1092208,648924.0,0.00661611,0.31813962,0.33990662,0.03307821
All Housing Types (Own) 3 BR,First Tercile,Below 122000,0.33096227,0.1436515,0.0781432,0.10916757,206096.0,0.01176319,0.31161182,0.35031273,0.05846725
All Housing Types (Own) 3 BR,Second Tercile,122000 to 200000,0.34844626,0.15058181,0.08066577,0.11719868,222238.0,0.0104294,0.3312899,0.36560263,0.04923676
All Housing Types (Own) 3 BR,Third Tercile ,Above 200000,0.30764314,0.13098055,0.07542953,0.10123306,220590.0,0.01118551,0.28924297,0.32604331,0.0598101
