Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12)
"50+ Units (Rent), 2 BR",First Tercile,Below 140000,0.26948334,0.16292901,0.06164044,0.04491389
"50+ Units (Rent), 2 BR",Second Tercile,140000 to 187000,0.25408889,0.16726455,0.04134493,0.04547942
"50+ Units (Rent), 2 BR",Third Tercile ,Above 187000,0.11606666,0.05847814,0.02609572,0.03149279
"50+ Units (Rent), 3 BR",All Values,,0.8285124,0.43070566,0.23331214,0.1644946
"50+ Units (Rent), 3 BR",First Tercile,Below 159000,0.84457143,0.45028571,0.31142857,0.08285714
"50+ Units (Rent), 3 BR",Second Tercile,159000 to 193000,0.843361,0.50259336,0.15197095,0.18879668
"50+ Units (Rent), 3 BR",Third Tercile ,Above 193000,0.80680949,0.36457536,0.24100995,0.20122418
All Housing Types (Own) 0-1 BR,All Values,,0.05407011,0.02771242,0.01392751,0.01243018
All Housing Types (Own) 0-1 BR,First Tercile,Below 105000,0.05381824,0.03428307,0.01057833,0.00895684
All Housing Types (Own) 0-1 BR,Second Tercile,105000 to 196000,0.04615489,0.02047574,0.011015,0.01466414
All Housing Types (Own) 0-1 BR,Third Tercile ,Above 196000,0.06247382,0.02924752,0.0199637,0.0132626
All Housing Types (Own) 2 BR,All Values,,0.10700687,0.04677161,0.02506355,0.03517172
All Housing Types (Own) 2 BR,First Tercile,Below 159000,0.11522788,0.05201489,0.02996102,0.03325198
All Housing Types (Own) 2 BR,Second Tercile,159000 to 243000,0.11743831,0.04919193,0.02568345,0.04256293
All Housing Types (Own) 2 BR,Third Tercile ,Above 243000,0.08970231,0.03976423,0.02008024,0.02985784
All Housing Types (Own) 3 BR,All Values,,0.32324765,0.14328772,0.07832464,0.10163529
All Housing Types (Own) 3 BR,First Tercile,Below 199000,0.35870943,0.16193172,0.08566373,0.11111399
All Housing Types (Own) 3 BR,Second Tercile,199000 to 298000,0.32021267,0.1445661,0.07330351,0.10234305
All Housing Types (Own) 3 BR,Third Tercile ,Above 298000,0.29395533,0.1250112,0.07665857,0.09228556
All Housing Types (Own) 4-5 BR,All Values,,0.63037736,0.26474598,0.15381386,0.21181753
All Housing Types (Own) 4-5 BR,First Tercile,Below 265000,0.60953409,0.24568369,0.14799364,0.21585676
All Housing Types (Own) 4-5 BR,Second Tercile,265000 to 400000,0.62224393,0.26531038,0.15790116,0.19903239
All Housing Types (Own) 4-5 BR,Third Tercile ,Above 400000,0.65753022,0.28199964,0.15537419,0.22015639
All Housing Types (Rent) 0-1 BR,All Values,,0.03724716,0.02197953,0.0071666,0.00810102
