Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
All Housing Types (Own) 0-1 BR,Second Tercile,171000 to 324000,0.06398943,0.02630345,0.01854457,0.01914141
All Housing Types (Own) 0-1 BR,Third Tercile ,Above 324000,0.10228436,0.05320993,0.02674281,0.02233163
All Housing Types (Own) 2 BR,All Values,,0.1551859,0.07299516,0.03496498,0.04722576
All Housing Types (Own) 2 BR,First Tercile,Below 210000,0.13032224,0.05656893,0.032006,0.04174731
All Housing Types (Own) 2 BR,Second Tercile,210000 to 340000,0.15998869,0.07437246,0.03582566,0.04979056
All Housing Types (Own) 2 BR,Third Tercile ,Above 340000,0.17269065,0.0862348,0.03677849,0.04967735
All Housing Types (Own) 3 BR,All Values,,0.39900163,0.17611927,0.0922661,0.13061627
All Housing Types (Own) 3 BR,First Tercile,Below 267000,0.3818401,0.17282094,0.0851665,0.12385266
All Housing Types (Own) 3 BR,Second Tercile,267000 to 410000,0.385794,0.16854154,0.09098803,0.12626442
All Housing Types (Own) 3 BR,Third Tercile ,Above 410000,0.42730884,0.18620147,0.10012097,0.1409864
All Housing Types (Own) 4-5 BR,All Values,,0.66964351,0.27427639,0.15999435,0.23537277
All Housing Types (Own) 4-5 BR,First Tercile,Below 378000,0.60475176,0.24975912,0.14704496,0.20794768
All Housing Types (Own) 4-5 BR,Second Tercile,378000 to 600000,0.65641532,0.2655884,0.15480653,0.23602038
All Housing Types (Own) 4-5 BR,Third Tercile ,Above 600000,0.73995728,0.30447448,0.17653384,0.25894896
All Housing Types (Rent) 0-1 BR,All Values,,0.09917816,0.05548289,0.02151496,0.02218031
All Housing Types (Rent) 0-1 BR,First Tercile,Below 113000,0.05868668,0.0329184,0.01268816,0.01308012
All Housing Types (Rent) 0-1 BR,Second Tercile,113000 to 157000,0.13054636,0.07466122,0.03125654,0.0246286
All Housing Types (Rent) 0-1 BR,Third Tercile ,Above 157000,0.10726162,0.05828213,0.02036073,0.02861876
All Housing Types (Rent) 2 BR,All Values,,0.47066481,0.24206777,0.10464875,0.12394828
All Housing Types (Rent) 2 BR,First Tercile,Below 145000,0.46876926,0.23668842,0.10093272,0.13114811
All Housing Types (Rent) 2 BR,Second Tercile,145000 to 194000,0.55561801,0.28511598,0.12721403,0.143288
All Housing Types (Rent) 2 BR,Third Tercile ,Above 194000,0.387263,0.20414706,0.08565178,0.09746416
All Housing Types (Rent) 3 BR,All Values,,0.90150024,0.40146791,0.22560947,0.27442286
All Housing Types (Rent) 3 BR,First Tercile,Below 166000,0.93008197,0.39721795,0.24022685,0.29263716
All Housing Types (Rent) 3 BR,Second Tercile,166000 to 220000,0.97399248,0.43045458,0.25159804,0.29193986
All Housing Types (Rent) 3 BR,Third Tercile ,Above 220000,0.80095719,0.3765489,0.18530387,0.23910442
All Housing Types (Rent) 4-5 BR,All Values,,1.2913074,0.59012434,0.32404385,0.37713919
All Housing Types (Rent) 4-5 BR,First Tercile,Below 193000,1.11456,0.53141346,0.26958671,0.31355981
All Housing Types (Rent) 4-5 BR,Second Tercile,193000 to 265000,1.5044731,0.69408654,0.35598942,0.45439712
All Housing Types (Rent) 4-5 BR,Third Tercile ,Above 265000,1.251276,0.54377699,0.34533625,0.36216277
