Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"5-49 Units (Rent), 0-1 BR",Second Tercile,62000 to 88000,1.2972176,0.03390455,0.0261194,0.574719,0.17670905,0.16288926,0.17426755,0.09365211,0.0549567
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 88000,1.3366881,0.02589908,0.02746872,0.74982688,0.17159873,0.10327316,0.11195236,0.07363464,0.07303449
"5-49 Units (Rent), 2 BR",All Values,,2.1436011,0.18253799,0.30343536,0.84673563,0.26854256,0.20412073,0.17938785,0.10701971,0.05182126
"5-49 Units (Rent), 2 BR",First Tercile,Below 84000,2.0641059,0.17791861,0.30789791,0.65929471,0.29229177,0.21852906,0.20387136,0.14179169,0.06251078
"5-49 Units (Rent), 2 BR",Second Tercile,84000 to 111000,2.2199589,0.20600822,0.33062307,0.9401318,0.27674598,0.18414071,0.16064704,0.07655769,0.04510442
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 111000,2.1460956,0.16408047,0.27253336,0.93730394,0.23748379,0.20967,0.17395123,0.10305743,0.04801539
"5-49 Units (Rent), 3 BR",All Values,,3.1138125,0.31074305,0.92835435,1.0874487,0.40047105,0.19700653,0.10515119,0.0676189,0.01701869
"5-49 Units (Rent), 3 BR",First Tercile,Below 85000,3.0057702,0.37882589,0.98369293,0.95132965,0.31209232,0.18615153,0.09759157,0.08379328,0.01229303
"5-49 Units (Rent), 3 BR",Second Tercile,85000 to 130000,3.1776607,0.26090622,1.0273973,1.0857745,0.41348788,0.22592202,0.10958904,0.03772392,0.01685985
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 130000,3.1426315,0.30286617,0.77251185,1.2116904,0.46603476,0.17580682,0.10719928,0.08508237,0.02143986
"50+ Units (Own), 0-1 BR",All Values,,1.3606838,0.0,0.0,0.25299145,0.07692308,0.12307692,0.43247863,0.29401709,0.18119658
"50+ Units (Own), 0-1 BR",First Tercile,Below 105000,1.1235955,0.0,0.0,0.2247191,0.0,0.07865169,0.34831461,0.47191011,0.0
"50+ Units (Own), 0-1 BR",Second Tercile,105000 to 160000,1.7763713,0.0,0.0,0.25316456,0.0,0.15611814,0.70042194,0.2742616,0.39240506
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 160000,1.0617761,0.0,0.0,0.26254826,0.17374517,0.10810811,0.21621622,0.25096525,0.05019305
"50+ Units (Own), 2 BR",All Values,,1.4295964,0.032287,0.05829596,0.16950673,0.17219731,0.0367713,0.167713,0.36233184,0.43049327
"50+ Units (Own), 2 BR",First Tercile,Below 88000,1.6425121,0.0,0.31400966,0.28985507,0.0,0.0,0.1352657,0.20289855,0.70048309
"50+ Units (Own), 2 BR",Second Tercile,88000 to 260000,1.2702703,0.03950104,0.0,0.13721414,0.0997921,0.03742204,0.0,0.62162162,0.33471933
"50+ Units (Own), 2 BR",Third Tercile ,Above 260000,1.5058548,0.03981265,0.0,0.14754098,0.33723653,0.05386417,0.37236534,0.14754098,0.40749415
"50+ Units (Own), 3 BR",All Values,,2.0384615,0.0,0.5,0.48717949,0.17948718,0.28205128,0.0,0.32051282,0.26923077
"50+ Units (Own), 3 BR",Second Tercile,131000 to 250000,5.7692308,0.0,2.3846154,2.3076923,1.0769231,0.0,0.0,0.0,0.0
"50+ Units (Own), 3 BR",Third Tercile ,Above 250000,1.2923077,0.0,0.12307692,0.12307692,0.0,0.33846154,0.0,0.38461538,0.32307692
"50+ Units (Rent), 0-1 BR",All Values,,1.1209142,0.00786434,0.00176948,0.27112313,0.07888916,0.08989924,0.19380683,0.21867781,0.25888425
"50+ Units (Rent), 0-1 BR",First Tercile,Below 38000,1.0916317,0.0,0.00464907,0.07978404,0.05533893,0.12762448,0.2844931,0.36502699,0.17471506
"50+ Units (Rent), 0-1 BR",Second Tercile,38000 to 89000,1.1232712,0.02405292,0.0,0.23030667,0.07982562,0.06479254,0.21662658,0.26262778,0.24503909
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 89000,1.1464769,0.0,0.00071174,0.4913879,0.10035587,0.07786477,0.086121,0.03814947,0.35188612
"50+ Units (Rent), 2 BR",All Values,,1.7960152,0.06878558,0.10736875,0.80993042,0.18580013,0.16935484,0.07843137,0.1144845,0.26185958
"50+ Units (Rent), 2 BR",First Tercile,Below 103000,1.7501222,0.10611247,0.12469438,0.5799511,0.10317848,0.19608802,0.11002445,0.15745721,0.37261614
"50+ Units (Rent), 2 BR",Second Tercile,103000 to 145000,1.8927018,0.08844853,0.1358144,0.90865152,0.24842919,0.1300145,0.07878202,0.09328178,0.20927985
"50+ Units (Rent), 2 BR",Third Tercile ,Above 145000,1.7479638,0.0158371,0.06470588,0.93031674,0.20361991,0.18144796,0.04886878,0.09457014,0.20859729
"50+ Units (Rent), 3 BR",All Values,,4.050173,0.86851211,1.1211073,1.100346,0.64878893,0.1816609,0.0467128,0.05882353,0.02422145
"50+ Units (Rent), 3 BR",First Tercile,Below 93000,3.8034188,0.41880342,0.55555556,2.025641,0.61538462,0.06837607,0.11965812,0.0,0.0
"50+ Units (Rent), 3 BR",Second Tercile,93000 to 163000,4.3930636,0.98265896,1.3988439,1.0982659,0.46820809,0.24277457,0.07514451,0.12716763,0.0
"50+ Units (Rent), 3 BR",Third Tercile ,Above 163000,3.9444444,0.98263889,1.1840278,0.72569444,0.77083333,0.19097222,0.0,0.04166667,0.04861111
All Housing Types (Own) 0-1 BR,All Values,,1.607839,0.02381945,0.12420515,0.21645992,0.14046701,0.24356301,0.36896696,0.32085896,0.16949859
All Housing Types (Own) 0-1 BR,First Tercile,Below 64000,1.4580289,0.01315149,0.05244358,0.15457055,0.11625264,0.27569411,0.40055204,0.29582724,0.14953726
All Housing Types (Own) 0-1 BR,Second Tercile,64000 to 133000,1.5244346,0.03020718,0.11133955,0.21872529,0.13237387,0.18092678,0.37371501,0.32895777,0.14818915
All Housing Types (Own) 0-1 BR,Third Tercile ,Above 133000,1.8241348,0.02759547,0.2022673,0.27118138,0.17034606,0.27312053,0.33547136,0.33621718,0.20793556
All Housing Types (Own) 2 BR,All Values,,1.8865325,0.05678437,0.13181951,0.28078194,0.17374625,0.2407037,0.38862793,0.35572212,0.25834673
All Housing Types (Own) 2 BR,First Tercile,Below 85000,1.9280165,0.05231586,0.15466614,0.27119677,0.16265119,0.26669289,0.4201003,0.33849936,0.26189399
All Housing Types (Own) 2 BR,Second Tercile,85000 to 153000,1.8426828,0.05623147,0.13646864,0.30219844,0.18546183,0.24639048,0.36751627,0.32784045,0.22057521
All Housing Types (Own) 2 BR,Third Tercile ,Above 153000,1.8895877,0.06142275,0.10638876,0.26945174,0.17294064,0.21140009,0.37950159,0.39784323,0.29063888
All Housing Types (Own) 3 BR,All Values,,2.4429158,0.12309197,0.34154063,0.42063556,0.28745962,0.32549239,0.39843403,0.33747869,0.20878296
