Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
"5-49 Units (Rent), 0-1 BR",Second Tercile,79000 to 109000,0.06464914,0.03804263,0.01229189,0.01431461
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 109000,0.04204318,0.03366492,0.00415116,0.0042271
"5-49 Units (Rent), 2 BR",All Values,,0.35656148,0.21135581,0.06275399,0.08245168
"5-49 Units (Rent), 2 BR",First Tercile,Below 98000,0.29652675,0.17999016,0.05607115,0.06046544
"5-49 Units (Rent), 2 BR",Second Tercile,98000 to 130000,0.43888331,0.24651034,0.08011499,0.11225798
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 130000,0.33391999,0.20720233,0.05222365,0.07449401
"5-49 Units (Rent), 3 BR",All Values,,1.1206273,0.53239704,0.27761503,0.3106152
"5-49 Units (Rent), 3 BR",First Tercile,Below 108000,1.3779917,0.56781293,0.40110041,0.4090784
"5-49 Units (Rent), 3 BR",Second Tercile,108000 to 165000,0.88252531,0.49520511,0.17554608,0.21177411
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 165000,1.1107422,0.53497747,0.26203462,0.31373014
"50+ Units (Own), 0-1 BR",All Values,,0.01826246,0.00613097,0.0,0.01213149
"50+ Units (Own), 0-1 BR",First Tercile,Below 106000,0.02051506,0.02051506,0.0,0.0
"50+ Units (Own), 0-1 BR",Second Tercile,106000 to 200000,0.03474038,0.0,0.0,0.03474038
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 200000,0.0,0.0,0.0,0.0
"50+ Units (Own), 2 BR",All Values,,0.01231836,0.00619606,0.0,0.0061223
"50+ Units (Own), 2 BR",First Tercile,Below 160000,0.03556738,0.02032422,0.0,0.01524316
"50+ Units (Own), 2 BR",Second Tercile,160000 to 300000,0.0,0.0,0.0,0.0
"50+ Units (Own), 2 BR",Third Tercile ,Above 300000,0.00434594,0.0,0.0,0.00434594
"50+ Units (Own), 3 BR",All Values,,0.0,0.0,0.0,0.0
"50+ Units (Own), 3 BR",First Tercile,Below 147000,0.0,0.0,0.0,0.0
"50+ Units (Own), 3 BR",Second Tercile,147000 to 350000,0.0,0.0,0.0,0.0
"50+ Units (Own), 3 BR",Third Tercile ,Above 350000,0.0,0.0,0.0,0.0
"50+ Units (Rent), 0-1 BR",All Values,,0.02507871,0.01279812,0.00698667,0.00529391
"50+ Units (Rent), 0-1 BR",First Tercile,Below 94000,0.02088136,0.01633621,0.00154799,0.00299717
"50+ Units (Rent), 0-1 BR",Second Tercile,94000 to 146000,0.04440613,0.01301279,0.01896613,0.01242721
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 146000,0.01033273,0.00919518,0.00056877,0.00056877
"50+ Units (Rent), 2 BR",All Values,,0.2307179,0.13997978,0.04457027,0.04616785
"50+ Units (Rent), 2 BR",First Tercile,Below 140000,0.28515673,0.16968158,0.06572915,0.049746
"50+ Units (Rent), 2 BR",Second Tercile,140000 to 187000,0.26941083,0.17547273,0.04134493,0.05259318
"50+ Units (Rent), 2 BR",Third Tercile ,Above 187000,0.1408576,0.07692308,0.02745982,0.0364747
"50+ Units (Rent), 3 BR",All Values,,0.9408773,0.50143039,0.23331214,0.20613477
"50+ Units (Rent), 3 BR",First Tercile,Below 159000,0.89142857,0.46628571,0.31142857,0.11371429
"50+ Units (Rent), 3 BR",Second Tercile,159000 to 193000,0.94242739,0.57520747,0.15197095,0.21524896
"50+ Units (Rent), 3 BR",Third Tercile ,Above 193000,0.97283856,0.47054323,0.24100995,0.26128539
All Housing Types (Own) 0-1 BR,All Values,,0.06096257,0.03206179,0.01630422,0.01259655
All Housing Types (Own) 0-1 BR,First Tercile,Below 105000,0.05381824,0.03428307,0.01057833,0.00895684
All Housing Types (Own) 0-1 BR,Second Tercile,105000 to 196000,0.05189891,0.02365184,0.01358292,0.01466414
All Housing Types (Own) 0-1 BR,Third Tercile ,Above 196000,0.07678347,0.03874075,0.0242915,0.01375122
All Housing Types (Own) 2 BR,All Values,,0.12683726,0.05747438,0.02959084,0.03977204
All Housing Types (Own) 2 BR,First Tercile,Below 159000,0.14459255,0.06818257,0.03637729,0.04003269
All Housing Types (Own) 2 BR,Second Tercile,159000 to 243000,0.1343282,0.05923428,0.02932576,0.04576816
All Housing Types (Own) 2 BR,Third Tercile ,Above 243000,0.10377929,0.04619347,0.02375551,0.0338303
All Housing Types (Own) 3 BR,All Values,,0.37307249,0.17288236,0.08714813,0.11304201
All Housing Types (Own) 3 BR,First Tercile,Below 199000,0.4002142,0.18758893,0.0933314,0.11929387
All Housing Types (Own) 3 BR,Second Tercile,199000 to 298000,0.37353117,0.17756494,0.08134465,0.11462158
All Housing Types (Own) 3 BR,Third Tercile ,Above 298000,0.34786915,0.1547888,0.0873187,0.10576166
All Housing Types (Own) 4-5 BR,All Values,,0.74721273,0.32754551,0.18030234,0.23936488
All Housing Types (Own) 4-5 BR,First Tercile,Below 265000,0.7001456,0.29204787,0.17080399,0.23729374
All Housing Types (Own) 4-5 BR,Second Tercile,265000 to 400000,0.73303114,0.33364875,0.17865755,0.22072485
All Housing Types (Own) 4-5 BR,Third Tercile ,Above 400000,0.8045645299999999,0.35489046,0.19072351,0.25895055
All Housing Types (Rent) 0-1 BR,All Values,,0.04330832,0.02488289,0.00944006,0.00898537
All Housing Types (Rent) 0-1 BR,First Tercile,Below 82000,0.02233851,0.01370974,0.00326905,0.00535972
All Housing Types (Rent) 0-1 BR,Second Tercile,82000 to 119000,0.05547022,0.03063225,0.01422345,0.01061452
All Housing Types (Rent) 0-1 BR,Third Tercile ,Above 119000,0.0517455,0.03010332,0.01072818,0.010914
All Housing Types (Rent) 2 BR,All Values,,0.32005955,0.18416069,0.06324435,0.07265451
All Housing Types (Rent) 2 BR,First Tercile,Below 106000,0.32825133,0.19265156,0.06117718,0.07442258
All Housing Types (Rent) 2 BR,Second Tercile,106000 to 150000,0.39069748,0.22908367,0.07419637,0.08741745
All Housing Types (Rent) 2 BR,Third Tercile ,Above 150000,0.24195382,0.13126979,0.05440814,0.05627588
All Housing Types (Rent) 3 BR,All Values,,0.91223221,0.44308225,0.22193679,0.24721317
All Housing Types (Rent) 3 BR,First Tercile,Below 117000,0.94918343,0.47834163,0.22166538,0.24917642
All Housing Types (Rent) 3 BR,Second Tercile,117000 to 178000,0.89783588,0.46518296,0.21883534,0.21381759
All Housing Types (Rent) 3 BR,Third Tercile ,Above 178000,0.89068991,0.38677382,0.22529456,0.27862154
All Housing Types (Rent) 4-5 BR,All Values,,1.0908866,0.48687469,0.2712564,0.33275549
All Housing Types (Rent) 4-5 BR,First Tercile,Below 136000,0.96863469,0.49429722,0.20303589,0.27130158
All Housing Types (Rent) 4-5 BR,Second Tercile,136000 to 212000,1.1771476,0.48088779,0.31796136,0.3782984
All Housing Types (Rent) 4-5 BR,Third Tercile ,Above 212000,1.1242145,0.48559536,0.29127561,0.34734351
