Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"50+ Units (Own), 2 BR",Second Tercile,201000 to 419000,0.01875,0.00729167,0.0,0.01145833,3840.0,0.01310734,-0.00281157,0.04031157,1.1499503
"50+ Units (Own), 2 BR",Third Tercile ,Above 419000,0.03509209,0.024888,0.0,0.01020408,4018.0,0.02324466,-0.00314538,0.07332955,1.0896321
"50+ Units (Own), 3 BR",All Values,,0.05536332,0.01581809,0.01136925,0.02817598,2023.0,0.04600933,-0.02032203,0.13104867,1.3670666
"50+ Units (Own), 3 BR",First Tercile,Below 262000,0.22178218,0.06336634,0.04554455,0.11287129,505.0,0.186821,-0.08553837,0.52910272,1.3856864
"50+ Units (Own), 3 BR",Second Tercile,262000 to 442000,0.0,0.0,0.0,0.0,722.0,.,.,.,.
"50+ Units (Own), 3 BR",Third Tercile ,Above 442000,0.0,0.0,0.0,0.0,796.0,.,.,.,.
"50+ Units (Rent), 0-1 BR",All Values,,0.0077706,0.00627886,0.00119339,0.00029835,147479.0,0.00200092,0.00447908,0.01106212,0.4235866
"50+ Units (Rent), 0-1 BR",First Tercile,Below 54000,0.00458367,0.00458367,0.0,0.0,48651.0,0.00273843,7.896e-05,0.00908838,0.98277432
"50+ Units (Rent), 0-1 BR",Second Tercile,54000 to 136000,0.01140577,0.00865055,0.00186382,0.00089139,49361.0,0.00351845,0.00561792,0.01719361,0.50744922
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 136000,0.00727758,0.00557948,0.0016981,0.0,49467.0,0.00422779,0.00032287,0.01423229,0.95563478
"50+ Units (Rent), 2 BR",All Values,,0.14962043,0.07704164,0.03400046,0.03857833,43470.0,0.01974809,0.11713482,0.18210603,0.21712012
"50+ Units (Rent), 2 BR",First Tercile,Below 140000,0.20948786,0.13013747,0.04601467,0.03333571,14039.0,0.04514359,0.13522665,0.28374906,0.35448932
"50+ Units (Rent), 2 BR",Second Tercile,140000 to 213000,0.16964954,0.07097652,0.04593399,0.05273903,14695.0,0.03217273,0.1167254,0.22257368,0.31196156
"50+ Units (Rent), 2 BR",Third Tercile ,Above 213000,0.07261129,0.03250543,0.01065418,0.02945168,14736.0,0.01975663,0.04011163,0.10511095,0.44758411
"50+ Units (Rent), 3 BR",All Values,,0.35124164,0.12583572,0.09861509,0.12679083,4188.0,0.09353195,0.19738158,0.5051017,0.43804618
"50+ Units (Rent), 3 BR",First Tercile,152000,0.55462822,0.18664643,0.21927162,0.14871017,1318.0,0.21412469,0.2023931,0.90686335,0.6350833
"50+ Units (Rent), 3 BR",Second Tercile,152000 to 243000,0.34002976,0.1421131,0.05059524,0.14732143,1344.0,0.18060312,0.04293762,0.6371219,0.87372393
"50+ Units (Rent), 3 BR",Third Tercile ,Above 243000,0.18545216,0.05897772,0.03669725,0.0897772,1526.0,0.07600439,0.06042493,0.31047939,0.6741751
All Housing Types (Own) 0-1 BR,All Values,,0.07908843,0.03161343,0.01780508,0.02966992,63802.0,0.01048605,0.06183888,0.09633798,0.21810464
All Housing Types (Own) 0-1 BR,First Tercile,Below 95000,0.06309366,0.02239283,0.01422314,0.02647768,20319.0,0.02034565,0.02962506,0.09656225,0.53045893
All Housing Types (Own) 0-1 BR,Second Tercile,95000 to 191000,0.08352392,0.03835525,0.01424624,0.03092243,20988.0,0.02055126,0.04971709,0.11733075,0.40475628
All Housing Types (Own) 0-1 BR,Third Tercile ,Above 191000,0.08939764,0.03365192,0.02436097,0.03138475,22495.0,0.01619496,0.06275694,0.11603835,0.29800228
All Housing Types (Own) 2 BR,All Values,,0.13113095,0.06034681,0.02906293,0.04172121,498883.0,0.00455495,0.12363806,0.13862384,0.05714051
All Housing Types (Own) 2 BR,First Tercile,Below 106000,0.15123606,0.06804431,0.03400021,0.04919153,159499.0,0.00862069,0.13705502,0.16541709,0.09376755
All Housing Types (Own) 2 BR,Second Tercile,106000 to 196000,0.13544362,0.06032358,0.03207634,0.0430437,163485.0,0.00860087,0.1212952,0.14959204,0.10445988
All Housing Types (Own) 2 BR,Third Tercile ,Above 196000,0.10889203,0.05338859,0.02178523,0.03371821,175899.0,0.00726582,0.09693975,0.12084432,0.10976267
All Housing Types (Own) 3 BR,All Values,,0.33373116,0.14747384,0.0799539,0.10630342,1780526.0,0.00395864,0.3272192,0.34024311,0.01951259
All Housing Types (Own) 3 BR,First Tercile,Below 149000,0.32969898,0.13950104,0.07696313,0.1132348,570390.0,0.00715332,0.31793177,0.34146618,0.03569075
All Housing Types (Own) 3 BR,Second Tercile,149000 to 241000,0.33256018,0.14743933,0.08190361,0.10321724,576861.0,0.00692329,0.32117138,0.34394899,0.03424584
All Housing Types (Own) 3 BR,Third Tercile ,Above 241000,0.33842959,0.15468635,0.08087166,0.10287158,633275.0,0.00607002,0.32844441,0.34841478,0.02950447
All Housing Types (Own) 4-5 BR,All Values,,0.65985441,0.27384352,0.16067453,0.22533636,1041310.0,0.00676748,0.64872191,0.67098692,0.01687116
All Housing Types (Own) 4-5 BR,First Tercile,Below 230000,0.59622727,0.24525428,0.14768429,0.2032887,335513.0,0.01300851,0.57482827,0.61762627,0.03589068
All Housing Types (Own) 4-5 BR,Second Tercile,230000 to 398000,0.65247024,0.27003409,0.16020097,0.22223518,334380.0,0.0139169,0.62957694,0.67536354,0.03508712
All Housing Types (Own) 4-5 BR,Third Tercile ,Above 398000,0.72397871,0.30309867,0.17283538,0.24804465,371417.0,0.01387732,0.70115052,0.7468069,0.03153158
All Housing Types (Rent) 0-1 BR,All Values,,0.02843625,0.01756533,0.00508046,0.00579045,515504.0,0.00232838,0.02460607,0.03226643,0.13469362
All Housing Types (Rent) 0-1 BR,First Tercile,Below 75000,0.01468404,0.00968522,0.00189814,0.00310068,169640.0,0.00255848,0.01047533,0.01889274,0.28661771
