Structure,VALUE_TENURE,value_range,PERSONS,0-4,17-May,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"50+ Units (Own), 3 BR",    Above Median,600000,2.0498221,0,0,0.24911032,0,0.06761566,0.4519573,0.91459075,0.36654804,281,0.75909445,0.8011117,3.2985324,0.60917988
"50+ Units (Rent), 0-1 BR",All Values,,1.3157898,0.03259389,0.02129526,0.75326593,0.15416045,0.08660834,0.08904893,0.08214118,0.09667578,183562,0.03207994,1.2630183,1.3685613,0.04010634
"50+ Units (Rent), 0-1 BR",    Below Median,152000,1.3067149,0.04138999,0.02888959,0.70105181,0.12213352,0.084329,0.10203971,0.12075782,0.10612347,92317,0.04656498,1.2301155,1.3833143,0.05861982
"50+ Units (Rent), 0-1 BR",    Above Median,152000,1.3249712,0.02369445,0.0136117,0.80609348,0.18656365,0.08891446,0.07590553,0.04307085,0.0871171,91245,0.04256254,1.2549559,1.3949866,0.05284294
"50+ Units (Rent), 2 BR",All Values,,2.156261,0.16886568,0.25290042,0.90814807,0.26458484,0.18125323,0.13377107,0.11921208,0.12752559,96710,0.0723116,2.0373084,2.2752136,0.05516613
"50+ Units (Rent), 2 BR",    Below Median,186000,2.1796877,0.2003177,0.33769315,0.80725352,0.23460483,0.1838343,0.13007241,0.14696842,0.13894333,48473,0.0980277,2.0184321,2.3409432,0.07398104
"50+ Units (Rent), 2 BR",    Above Median,186000,2.1327197,0.13725978,0.16769285,1.0095362,0.29471153,0.17865954,0.13748782,0.09131994,0.11605199,48237,0.08942515,1.9856153,2.2798241,0.06897502
"50+ Units (Rent), 3 BR",All Values,,3.4815883,0.37926353,0.97743085,1.1695232,0.38214831,0.28169014,0.15645681,0.07958595,0.05548956,11786,0.30910621,2.9731086,3.990068,0.1460482
"50+ Units (Rent), 3 BR",    Below Median,170000,3.6632738,0.48907058,1.2564659,1.1565159,0.30735859,0.2244285,0.12381111,0.06891373,0.03670949,5993,0.42824052,2.9588182,4.3677295,0.19230221
"50+ Units (Rent), 3 BR",    Above Median,170000,3.2936302,0.26566546,0.6887623,1.1829795,0.45952011,0.34092871,0.19022959,0.09062662,0.074918,5793,0.42070181,2.6015758,3.9856847,0.21011906
All Housing Types (Own) 0-1 BR,All Values,,2.1636376,0.11435921,0.30609381,0.42656688,0.28838701,0.30392222,0.3245022,0.26814112,0.13166511,29932,0.13209203,1.9463462,2.380929,0.10042874
All Housing Types (Own) 0-1 BR,    Below Median,175000,2.2093522,0.14275494,0.36361863,0.4219563,0.27646982,0.25598335,0.34488814,0.28082726,0.1228538,15376,0.17461694,1.9221074,2.4965971,0.13001316
All Housing Types (Own) 0-1 BR,    Above Median,175000,2.1153476,0.08436384,0.24532839,0.43143721,0.30097554,0.35456169,0.30296785,0.25474031,0.14097279,14556,0.19094186,1.8012483,2.429447,0.14848593
All Housing Types (Own) 2 BR,All Values,,2.1391117,0.10743188,0.23117998,0.38094489,0.24510164,0.2777603,0.3279412,0.34202891,0.22672295,114426,0.0579622,2.0437639,2.2344596,0.04457356
All Housing Types (Own) 2 BR,    Below Median,217000,2.3219425,0.13427233,0.3347424,0.44260327,0.25058758,0.33337279,0.32647402,0.29602137,0.20386872,59141,0.09436677,2.1667091,2.4771758,0.06685494
All Housing Types (Own) 2 BR,    Above Median,217000,1.943529,0.07871936,0.12039432,0.31498598,0.23923307,0.21826897,0.32951072,0.39124536,0.2511712,55285,0.07308342,1.8233068,2.0637512,0.0618577
All Housing Types (Own) 3 BR,All Values,,2.787564,0.2015008,0.5047866,0.57182122,0.4532948,0.38540293,0.33111812,0.23290222,0.10673726,899386,0.0306879,2.7370824,2.8380456,0.01810958
All Housing Types (Own) 3 BR,    Below Median,241000,2.9544582,0.22785924,0.60752371,0.67131706,0.48803017,0.39071388,0.29370258,0.18401234,0.09129924,459029,0.04014167,2.8884252,3.0204913,0.02235031
All Housing Types (Own) 3 BR,    Above Median,241000,2.6135931,0.17402471,0.39769324,0.46810656,0.41708659,0.37986679,0.37012015,0.28386514,0.12282989,440357,0.03972153,2.5482511,2.678935,0.0250008
All Housing Types (Own) 4-5 BR,All Values,,3.5726677,0.25720936,0.93661618,0.61642431,0.61633083,0.56740066,0.32903006,0.17847579,0.0711805,1059040,0.03266115,3.5189401,3.6263953,0.01503851
All Housing Types (Own) 4-5 BR,    Below Median,344000,3.6541296,0.27850591,0.94556616,0.7480827,0.62178908,0.51812734,0.30562938,0.16511148,0.07131753,540344,0.04724073,3.5764186,3.7318406,0.02126663
All Housing Types (Own) 4-5 BR,    Above Median,344000,3.487806,0.23502398,0.92729267,0.4792711,0.61064477,0.61873043,0.35340739,0.19239786,0.07103776,518696,0.04194544,3.4188057,3.5568062,0.01978328
All Housing Types (Rent) 0-1 BR,All Values,,1.3933486,0.05495708,0.0513662,0.75731849,0.16900193,0.11055861,0.10212837,0.07610758,0.0719103,420510,0.02351783,1.3546617,1.4320354,0.02776536
All Housing Types (Rent) 0-1 BR,    Below Median,135000,1.4094129,0.07089547,0.07147833,0.68856413,0.1459515,0.12057585,0.12166574,0.10718906,0.08309285,211029,0.03353441,1.3542488,1.464577,0.03913978
All Housing Types (Rent) 0-1 BR,    Above Median,135000,1.3771655,0.0389009,0.03110545,0.82658093,0.19222268,0.10046735,0.08244662,0.04479643,0.06064512,209481,0.03098312,1.3261982,1.4281327,0.03700879
All Housing Types (Rent) 2 BR,All Values,,2.4145118,0.24635889,0.40357382,0.93625779,0.32447807,0.20131402,0.13569704,0.09057662,0.07625561,357377,0.04039258,2.3480661,2.4809576,0.02751935
All Housing Types (Rent) 2 BR,    Below Median,151000,2.5088428,0.30337361,0.50638725,0.88220554,0.30563384,0.17823479,0.14311466,0.10499763,0.0848955,179185,0.06370919,2.4040412,2.6136444,0.04177289
All Housing Types (Rent) 2 BR,    Above Median,151000,2.3196552,0.18902644,0.30018744,0.99061125,0.34342731,0.22452186,0.12823808,0.07607524,0.06756757,178192,0.05098451,2.2357857,2.4035247,0.03615603
All Housing Types (Rent) 3 BR,All Values,,3.3412792,0.31839167,0.91064122,1.0233793,0.51002344,0.32335206,0.15264563,0.06768866,0.03515724,209459,0.06552369,3.2334927,3.4490657,0.03225904
All Housing Types (Rent) 3 BR,    Below Median,181000,3.4554819,0.35994603,1.0674281,1.0816625,0.45685969,0.27229708,0.12685532,0.06096657,0.02946654,105238,0.09326926,3.3020539,3.6089098,0.04440131
All Housing Types (Rent) 3 BR,    Above Median,181000,3.2259621,0.27643181,0.75232439,0.9645273,0.56370597,0.37490525,0.1786876,0.07447635,0.04090346,104221,0.10089422,3.0599911,3.3919331,0.05144853
All Housing Types (Rent) 4-5 BR,All Values,,4.1261544,0.37131077,1.2098681,1.2292951,0.65683573,0.38837116,0.1651766,0.07051349,0.03478343,95074,0.15453372,3.8719464,4.3803623,0.06160893
All Housing Types (Rent) 4-5 BR,    Below Median,221000,4.079468,0.39265549,1.1854114,1.4201347,0.58224936,0.26546489,0.13865072,0.05307625,0.04182525,47818,0.20194048,3.7472759,4.4116601,0.08143025
All Housing Types (Rent) 4-5 BR,    Above Median,221000,4.173396,0.34971221,1.2346157,1.0361859,0.73230912,0.51273912,0.19201794,0.08815812,0.02765786,47256,0.21215865,3.824395,4.522397,0.08362518
