Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"5-49 Units (Rent), 0-1 BR",Second Tercile,89000 to 120000,0.06937078,0.04870397,0.01297278,0.00769403,40161.0,0.01038301,0.05229073,0.08645084,0.24621397
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 120000,0.0346053,0.02019459,0.00360268,0.01080803,40803.0,0.0074271,0.02238772,0.04682288,0.35305525
"5-49 Units (Rent), 2 BR",All Values,,0.34818969,0.17409929,0.09013349,0.08395692,112522.0,0.01621825,0.32151067,0.3748687,0.07662207
"5-49 Units (Rent), 2 BR",First Tercile,Below 116000,0.44603947,0.2233847,0.12235739,0.10029738,36990.0,0.03299732,0.39175888,0.50032006,0.12169458
"5-49 Units (Rent), 2 BR",Second Tercile,116000 to 152000,0.37666482,0.17306221,0.10232877,0.10127383,37917.0,0.0289867,0.3289817,0.42434795,0.12659299
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 152000,0.223262,0.12667819,0.0461518,0.05043201,37615.0,0.0200378,0.19029981,0.25622418,0.14763902
"5-49 Units (Rent), 3 BR",All Values,,0.91345992,0.40357363,0.2060158,0.3038705,17853.0,0.09295596,0.76054737,1.0663725,0.1673993
"5-49 Units (Rent), 3 BR",First Tercile,Below 127000,0.92185063,0.42453648,0.24155259,0.25576157,5771.0,0.1537246,0.66897366,1.1747276,0.27431447
"5-49 Units (Rent), 3 BR",Second Tercile,127000 to 184000,1.2576877,0.50060127,0.2740079,0.48307851,5821.0,0.19322731,0.93982875,1.5755466,0.2527328
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 184000,0.58568919,0.29404249,0.11004632,0.18160038,6261.0,0.11805314,0.39149177,0.77988661,0.33157078
"50+ Units (Own), 0-1 BR",All Values,,0.00801953,0.00453278,0.00348675,0.0,2868.0,0.00575961,-0.00145503,0.01749408,1.1814358
"50+ Units (Own), 0-1 BR",First Tercile,Below 133000,0.0116144,0.0,0.0116144,0.0,861.0,0.01303843,-0.00983382,0.03306262,1.8466918
"50+ Units (Own), 0-1 BR",Second Tercile,133000 to 209000,0.0,0.0,0.0,0.0,932.0,.,.,.,.
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 209000,0.01209302,0.01209302,0.0,0.0,1075.0,0.01175643,-0.0072463,0.03143234,1.5992129
"50+ Units (Own), 2 BR",All Values,,0.05855111,0.01852464,0.01802845,0.02199802,6046.0,0.021085,0.02386628,0.09323594,0.59238557
"50+ Units (Own), 2 BR",First Tercile,Below 190000,0.03954496,0.02708559,0.0,0.01245937,1846.0,0.0220473,0.00327716,0.07581277,0.91712832
"50+ Units (Own), 2 BR",Second Tercile,190000 to 283000,0.15075107,0.0332618,0.05847639,0.05901288,1864.0,0.06742916,0.03983011,0.26167204,0.73578889
"50+ Units (Own), 2 BR",Third Tercile ,Above 283000,0.0,0.0,0.0,0.0,2336.0,.,.,.,.
"50+ Units (Own), 3 BR",All Values,,0.00768156,0.0,0.00768156,0.0,1432.0,0.00754341,-0.00472734,0.02009047,1.6154139
"50+ Units (Own), 3 BR",First Tercile,Below 325000,0.02956989,0.0,0.02956989,0.0,372.0,0.02952187,-0.01899358,0.07813337,1.6423285
"50+ Units (Own), 3 BR",Second Tercile,325000 to 707000,0.0,0.0,0.0,0.0,527.0,.,.,.,.
"50+ Units (Own), 3 BR",Third Tercile ,Above 707000,0.0,0.0,0.0,0.0,533.0,.,.,.,.
"50+ Units (Rent), 0-1 BR",All Values,,0.03287066,0.0143726,0.00783839,0.01065968,75143.0,0.00544438,0.02391465,0.04182667,0.27246202
"50+ Units (Rent), 0-1 BR",First Tercile,Below 99000,0.03591667,0.01300501,0.00864283,0.01426882,24529.0,0.00886688,0.02133065,0.05050269,0.4061072
"50+ Units (Rent), 0-1 BR",Second Tercile,99000 to 142000,0.04225744,0.01950038,0.01191469,0.01084237,25179.0,0.00995559,0.02588049,0.05863439,0.38755188
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 142000,0.02064085,0.01061529,0.00302732,0.00699823,25435.0,0.00842229,0.00678617,0.03449552,0.67122601
"50+ Units (Rent), 2 BR",All Values,,0.27574141,0.13869234,0.06267641,0.07437266,51726.0,0.02130616,0.24069277,0.31079004,0.12710689
"50+ Units (Rent), 2 BR",First Tercile,Below 128000,0.35615787,0.17100571,0.07905373,0.10609843,16824.0,0.04024314,0.28995791,0.42235783,0.18587251
"50+ Units (Rent), 2 BR",Second Tercile,128000 to 170000,0.31938641,0.16163929,0.0793887,0.07835842,17471.0,0.03940831,0.25455974,0.38421308,0.20297253
"50+ Units (Rent), 2 BR",Third Tercile ,Above 170000,0.15438013,0.08450462,0.03011875,0.03975676,17431.0,0.02534808,0.11268253,0.19607773,0.27009693
"50+ Units (Rent), 3 BR",All Values,,0.66644102,0.26857336,0.14063293,0.25723473,5909.0,0.10688698,0.49061194,0.8422701,0.26383292
"50+ Units (Rent), 3 BR",First Tercile,Below 138000,0.83140148,0.29241307,0.25079031,0.2881981,1898.0,0.22838267,0.45571199,1.207091,0.45187493
"50+ Units (Rent), 3 BR",Second Tercile,138000 to 196000,0.76845806,0.28578604,0.11451532,0.36815671,1991.0,0.22814206,0.39316436,1.1437518,0.48837239
"50+ Units (Rent), 3 BR",Third Tercile ,Above 196000,0.41089109,0.22920792,0.06287129,0.11881188,2020.0,0.10695654,0.23494757,0.5868346,0.42819988
All Housing Types (Own) 0-1 BR,All Values,,0.1712215,0.0589461,0.05172882,0.06054658,33115.0,0.01677726,0.14362291,0.19882009,0.16118646
All Housing Types (Own) 0-1 BR,First Tercile,Below 94000,0.18732655,0.08371878,0.04190564,0.06170213,10810.0,0.02216389,0.15086695,0.22378615,0.19463123
All Housing Types (Own) 0-1 BR,Second Tercile,94000 to 191000,0.15864724,0.02630373,0.06369719,0.06864632,10911.0,0.03432702,0.10217928,0.21511519,0.35593405
All Housing Types (Own) 0-1 BR,Third Tercile ,Above 191000,0.16798315,0.06670177,0.0495875,0.05169387,11394.0,0.03156564,0.11605767,0.21990863,0.30911125
All Housing Types (Own) 2 BR,All Values,,0.08246844,0.03670437,0.01899878,0.02676529,270649.0,0.00456404,0.07496059,0.08997629,0.09103906
All Housing Types (Own) 2 BR,First Tercile,Below 185000,0.12440544,0.05675523,0.02471524,0.04293496,86829.0,0.00905167,0.10951544,0.13929545,0.11968934
All Housing Types (Own) 2 BR,Second Tercile,185000 to 297000,0.06662263,0.02770806,0.01792162,0.02099295,90840.0,0.00599945,0.05675354,0.07649173,0.14813426
All Housing Types (Own) 2 BR,Third Tercile ,Above 297000,0.05878684,0.0267692,0.01471284,0.0173048,92980.0,0.00773066,0.0460699,0.07150377,0.21632286
All Housing Types (Own) 3 BR,All Values,,0.2952943,0.12627002,0.0727884,0.09623588,728138.0,0.00548018,0.2862794,0.3043092,0.03052853
All Housing Types (Own) 3 BR,First Tercile,Below 220000,0.37424924,0.1554813,0.0956261,0.12314184,233430.0,0.01154107,0.35526417,0.39323431,0.05072841
All Housing Types (Own) 3 BR,Second Tercile,220000 to 337000,0.29824923,0.13492227,0.0706614,0.09266556,242636.0,0.01029929,0.28130689,0.31519157,0.05680597
All Housing Types (Own) 3 BR,Third Tercile ,Above 337000,0.21933416,0.0908907,0.05368704,0.07475642,252072.0,0.00746077,0.2070612,0.23160712,0.05595553
All Housing Types (Own) 4-5 BR,All Values,,0.63809287,0.25647066,0.16320201,0.21842019,537812.0,0.0088867,0.62347425,0.65271148,0.02290986
All Housing Types (Own) 4-5 BR,First Tercile,Below 293000,0.69223742,0.28922087,0.17487359,0.22814296,174040.0,0.02006359,0.65923281,0.72524202,0.04767816
All Housing Types (Own) 4-5 BR,Second Tercile,293000 to 450000,0.62898905,0.25056886,0.16569334,0.21272684,178426.0,0.01656188,0.60174475,0.65623335,0.04331443
All Housing Types (Own) 4-5 BR,Third Tercile ,Above 450000,0.59601502,0.23139965,0.14984408,0.21477129,185346.0,0.01569697,0.5701935,0.62183654,0.0433236
All Housing Types (Rent) 0-1 BR,All Values,,0.06177654,0.03539599,0.01377083,0.01260972,252345.0,0.00449808,0.0543772,0.06917587,0.11977585
All Housing Types (Rent) 0-1 BR,First Tercile,Below 89000,0.06693729,0.03528876,0.01584222,0.0158063,83511.0,0.00906694,0.05202217,0.08185241,0.22282235
All Housing Types (Rent) 0-1 BR,Second Tercile,89000 to 123000,0.06757496,0.0434317,0.01405283,0.01009043,84040.0,0.00716319,0.05579152,0.07935841,0.17437586
All Housing Types (Rent) 0-1 BR,Third Tercile ,Above 123000,0.050947,0.02753733,0.01145128,0.01195839,84794.0,0.00721729,0.03907456,0.06281944,0.23303517
All Housing Types (Rent) 2 BR,All Values,,0.33612191,0.16899628,0.07960241,0.08752321,296687.0,0.00966335,0.3202257,0.35201812,0.04729299
All Housing Types (Rent) 2 BR,First Tercile,Below 111000,0.40654374,0.20017464,0.10627151,0.10009759,97345.0,0.01773445,0.37737057,0.43571691,0.07175899
All Housing Types (Rent) 2 BR,Second Tercile,111000 to 150000,0.37320987,0.18764939,0.08542391,0.10013658,99574.0,0.01711855,0.34504987,0.40136988,0.07545354
All Housing Types (Rent) 2 BR,Third Tercile ,Above 150000,0.23039452,0.1199583,0.04777083,0.06266538,99768.0,0.01335384,0.20842746,0.25236158,0.09534541
All Housing Types (Rent) 3 BR,All Values,,0.69884542,0.31616668,0.16717788,0.21550086,200505.0,0.01961965,0.6665711,0.73111973,0.04618234
All Housing Types (Rent) 3 BR,First Tercile,Below 135000,0.76914636,0.36815128,0.19348535,0.20750973,66527.0,0.03229796,0.71601622,0.8222765,0.06907676
All Housing Types (Rent) 3 BR,Second Tercile,135000 to 180000,0.751954,0.33478573,0.1688827,0.24828557,66786.0,0.04053764,0.68526958,0.81863842,0.08868152
All Housing Types (Rent) 3 BR,Third Tercile ,Above 180000,0.57645255,0.24619002,0.13943624,0.19082629,67192.0,0.02857215,0.52945137,0.62345374,0.08153522
All Housing Types (Rent) 4-5 BR,All Values,,1.0800336,0.43622654,0.28560674,0.35820034,79704.0,0.04285141,1.0095431,1.1505242,0.06526701
All Housing Types (Rent) 4-5 BR,First Tercile,Below 162000,1.0756916,0.44226621,0.26620747,0.36721795,26423.0,0.07106212,0.95879444,1.1925888,0.10867166
All Housing Types (Rent) 4-5 BR,Second Tercile,162000 to 214000,1.0988034,0.47252335,0.27484152,0.35143854,26659.0,0.07049599,0.9828375,1.2147693,0.10553836
All Housing Types (Rent) 4-5 BR,Third Tercile ,Above 214000,1.0655473,0.39388476,0.3156412,0.35602134,26622.0,0.08826768,0.92034696,1.2107476,0.13626832
