Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"5-49 Units (Own), 3 BR",Third Tercile ,Above 250000,1.8805506,0.07326821,0.07815274999999999,0.31927176,0.21314387,0.27664298,0.20648313,0.32282416,0.39076377
"5-49 Units (Rent), 0-1 BR",All Values,,1.3646013,0.05869929,0.05014866,0.63515943,0.17639862,0.15028878,0.14828611,0.08918355,0.0564369
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 100000,1.3492486,0.05959458,0.06776897,0.45481381,0.13976963,0.15601519,0.20607299,0.17370572,0.09150772
"5-49 Units (Rent), 0-1 BR",Second Tercile,100000 to 131000,1.3761031,0.0616701,0.05086598,0.70575258,0.19282474,0.14948454,0.12870103,0.05352577,0.03327835
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 131000,1.3683677,0.05490164,0.03215089,0.74279289,0.19620753,0.14545897,0.11081623,0.0412674,0.04477219
"5-49 Units (Rent), 2 BR",All Values,,2.2598014,0.22217722,0.37973677,0.85835021,0.32193617,0.21445377,0.14541992,0.08229197,0.03543535
"5-49 Units (Rent), 2 BR",First Tercile,Below 112000,2.2115071,0.26772435,0.39928303,0.7544959,0.26128048,0.20032293,0.1584748,0.1161082,0.05381744
"5-49 Units (Rent), 2 BR",Second Tercile,112000 to 149000,2.242937,0.21979062,0.39880969,0.84084325,0.3364549,0.19126631,0.14622114,0.0794493,0.03010182
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 149000,2.3230081,0.1807392,0.34198678,0.97563547,0.36585262,0.25108287,0.13206714,0.05259033,0.02305369
"5-49 Units (Rent), 3 BR",All Values,,3.54179,0.30640455,1.0684325,1.1426591,0.48972581,0.29318158,0.13841697,0.06425246,0.03871702
"5-49 Units (Rent), 3 BR",First Tercile,Below 122000,3.6097776,0.40779941,1.3068103,0.98658099,0.45964846,0.20777421,0.13148113,0.05588106,0.05380205
"5-49 Units (Rent), 3 BR",Second Tercile,122000 to 168000,3.6273705,0.32282534,1.1508425,1.099173,0.50886029,0.30678356,0.13424112,0.07330722,0.03133744
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 168000,3.3917771,0.19194819,0.75630765,1.3367341,0.50009164,0.36263669,0.14924553,0.06347364,0.03133973
"50+ Units (Own), 0-1 BR",All Values,,1.248599,0.00786932,0.00155002,0.4914749,0.2106832,0.21044474,0.1442709,0.12149756,0.06080839
"50+ Units (Own), 0-1 BR",First Tercile,Below 199000,1.152988,0.0,0.00517928,0.40079681,0.18366534,0.17928287,0.12749004,0.18565737,0.07091633
"50+ Units (Own), 0-1 BR",Second Tercile,199000 to 264000,1.3409338,0.0,0.0,0.59753891,0.19580166,0.24393775,0.14042707,0.09120521,0.07202316
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 264000,1.243738,0.02119461,0.0,0.47045601,0.24566474,0.20584457,0.16120745,0.09666024,0.04271034
"50+ Units (Own), 2 BR",All Values,,1.5115026,0.04300518,0.02331606,0.38134715,0.22507772,0.20093264,0.32352332,0.1757513,0.13854922
"50+ Units (Own), 2 BR",First Tercile,Below 302000,1.4528796,0.02912304,0.04450262,0.44829843,0.30431937,0.14463351,0.25294503,0.11354712,0.11551047
"50+ Units (Own), 2 BR",Second Tercile,302000 to 445000,1.54464,0.0608,0.02144,0.56384,0.11168,0.22656,0.27744,0.14592,0.13696
"50+ Units (Own), 2 BR",Third Tercile ,Above 445000,1.5332949,0.03920438,0.00634189,0.1579706,0.25742289,0.22744307,0.42721245,0.25742289,0.16027674
"50+ Units (Own), 3 BR",All Values,,2.1466957,0.11546841,0.4248366,0.44008715,0.08206245,0.194626,0.2745098,0.37037037,0.24473493
"50+ Units (Own), 3 BR",First Tercile,Below 332000,2.0248619,0.21823204,0.0,0.4281768,0.1160221,0.2679558,0.16022099,0.49447514,0.33977901
"50+ Units (Own), 3 BR",Second Tercile,332000 to 809000,2.4432314,0.0,1.0851528,0.29694323,0.13318777,0.05458515,0.27729258,0.31441048,0.28165939
"50+ Units (Own), 3 BR",Third Tercile ,Above 809000,1.9820467,0.14362657,0.15798923,0.56552962,0.01795332,0.26211849,0.3464991,0.33572711,0.15260323
"50+ Units (Rent), 0-1 BR",All Values,,1.2158687,0.01487143,0.0129826,0.53117838,0.13094668,0.07790818,0.11144131,0.15430529,0.18223487
"50+ Units (Rent), 0-1 BR",First Tercile,Below 106000,1.128824,0.00817324,0.01332926,0.12569224,0.0671428,0.0587404,0.1967689,0.35966085,0.29931635
"50+ Units (Rent), 0-1 BR",Second Tercile,106000 to 169000,1.226479,0.02043504,0.01629535,0.69983441,0.15520096,0.09287972,0.08369712,0.05983742,0.09829896
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 169000,1.2907836,0.01590457,0.00934019,0.76131888,0.16943621,0.08181102,0.0552909,0.04677595,0.15090589
"50+ Units (Rent), 2 BR",All Values,,1.9874901,0.10853585,0.18051165,0.84596288,0.29304292,0.17164801,0.13671716,0.10562656,0.14544502
"50+ Units (Rent), 2 BR",First Tercile,Below 139000,1.9189094,0.12590542,0.22737177,0.62181261,0.19563041,0.17030799,0.18332254,0.18779813,0.2067605
"50+ Units (Rent), 2 BR",Second Tercile,139000 to 201000,2.1252978,0.12849422,0.25286221,0.87202883,0.41796943,0.15923752,0.11663858,0.08909165,0.08897542
"50+ Units (Rent), 2 BR",Third Tercile ,Above 201000,1.9180243,0.07178631,0.06303609,1.0392608,0.26452133,0.18525128,0.11104715,0.04167866,0.14144263
"50+ Units (Rent), 3 BR",All Values,,3.3124039,0.21283737,0.70801287,1.3565935,0.27814292,0.32582856,0.26248077,0.10557964,0.06292826
"50+ Units (Rent), 3 BR",First Tercile,Below 130000,3.1838402,0.27825692,0.90603722,1.0354063,0.30322288,0.34271448,0.14207898,0.09350885,0.08261462
"50+ Units (Rent), 3 BR",Second Tercile,130000 to 194000,3.5596055,0.27744425,0.87092624,1.2439966,0.25900515,0.38979417,0.31989708,0.18825043,0.0102916
"50+ Units (Rent), 3 BR",Third Tercile ,Above 194000,3.2003058,0.10015291,0.39602446,1.7274465,0.27408257,0.25458716,0.31269113,0.04204893,0.09327217
