Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
All Housing Types (Rent) 0-1 BR,First Tercile,Below 139000,0.07608727,0.03720783,0.01714846,0.02173099
All Housing Types (Rent) 0-1 BR,Second Tercile,139000 to 214000,0.08650955,0.05437989,0.01652301,0.01560666
All Housing Types (Rent) 0-1 BR,Third Tercile ,Above 214000,0.01040924,0.00541851,0.00379296,0.00119778
All Housing Types (Rent) 2 BR,All Values,,0.40404553,0.21582909,0.09194749,0.09626894
All Housing Types (Rent) 2 BR,First Tercile,Below 147000,0.60183599,0.32294982,0.1244186,0.15446756
All Housing Types (Rent) 2 BR,Second Tercile,147000 to 265000,0.49671053,0.25408138,0.11939571,0.12323343
All Housing Types (Rent) 2 BR,Third Tercile ,Above 265000,0.11655477,0.07197726,0.03260146,0.01197605
All Housing Types (Rent) 3 BR,All Values,,0.78345701,0.37461617,0.18769191,0.22114893
All Housing Types (Rent) 3 BR,First Tercile,Below 138000,1.1208507,0.49453389,0.26396343,0.36235341
All Housing Types (Rent) 3 BR,Second Tercile,138000 to 288000,0.76609524,0.39009524,0.168,0.208
All Housing Types (Rent) 3 BR,Third Tercile ,Above 288000,0.48327415,0.24668286,0.13530181,0.10128948
All Housing Types (Rent) 4-5 BR,All Values,,0.79311828,0.35455197,0.20874552,0.22982079
All Housing Types (Rent) 4-5 BR,First Tercile,Below 171000,1.1497519,0.46008119,0.30717185,0.38249887
All Housing Types (Rent) 4-5 BR,Second Tercile,171000 to 372000,0.79012876,0.30386266,0.20772532,0.27854077
All Housing Types (Rent) 4-5 BR,Third Tercile ,Above 372000,0.47034596,0.3068369,0.11985173,0.04365733
