Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
All Housing Types (Own) 0-1 BR,Third Tercile ,Above 340000,0.08357372,0.03685897,0.01955128,0.02716346,12480.0,0.02170777,0.04786444,0.119283,0.42727882
All Housing Types (Own) 2 BR,All Values,,0.12018096,0.05197864,0.03094845,0.03725387,219494.0,0.00547321,0.11117752,0.1291844,0.07491567
All Housing Types (Own) 2 BR,First Tercile,Below 251000,0.14595165,0.06358629,0.03832872,0.04403664,70078.0,0.01088864,0.12803985,0.16386346,0.12272425
All Housing Types (Own) 2 BR,Second Tercile,251000 to 393000,0.10974258,0.04862394,0.02396299,0.03715564,73071.0,0.00863586,0.0955366,0.12394856,0.12944823
All Housing Types (Own) 2 BR,Third Tercile ,Above 393000,0.10651647,0.04453468,0.03085991,0.03112188,76345.0,0.01008817,0.08992143,0.12311152,0.15579793
All Housing Types (Own) 3 BR,All Values,,0.34050791,0.15588363,0.08164515,0.10297913,558686.0,0.00599064,0.33065331,0.3503625,0.02894088
All Housing Types (Own) 3 BR,First Tercile,Below 324000,0.37254309,0.16063353,0.08901388,0.12289568,178680.0,0.0152953,0.34738232,0.39770387,0.06753789
All Housing Types (Own) 3 BR,Second Tercile,324000 to 471000,0.34282962,0.16363399,0.0848787,0.09431693,183721.0,0.0115781,0.32378365,0.36187559,0.0555552
All Housing Types (Own) 3 BR,Third Tercile ,Above 471000,0.30917289,0.14430547,0.07191074,0.09295667,196285.0,0.00948622,0.29356806,0.32477772,0.05047283
All Housing Types (Own) 4-5 BR,All Values,,0.65231949,0.2752049,0.15603287,0.22108172,564176.0,0.00797562,0.63919959,0.66543939,0.02011269
All Housing Types (Own) 4-5 BR,First Tercile,Below 414000,0.63987399,0.26126887,0.14964414,0.22896098,179987.0,0.01658208,0.61259647,0.66715151,0.04262952
All Housing Types (Own) 4-5 BR,Second Tercile,414000 to 593000,0.66045904,0.29631042,0.15849283,0.2056558,191485.0,0.0176845,0.63136805,0.68955004,0.04404664
All Housing Types (Own) 4-5 BR,Third Tercile ,Above 593000,0.65585561,0.26724925,0.15955559,0.22905077,192704.0,0.01516472,0.63090964,0.68080158,0.03803577
All Housing Types (Rent) 0-1 BR,All Values,,0.04247292,0.0218271,0.01003066,0.01061516,244650.0,0.00379004,0.0362383,0.04870754,0.14679038
All Housing Types (Rent) 0-1 BR,First Tercile,Below 113000,0.03584465,0.01779196,0.01114946,0.00690323,80542.0,0.00630907,0.02546624,0.04622307,0.28953867
All Housing Types (Rent) 0-1 BR,Second Tercile,113000 to 160000,0.06311608,0.03383656,0.01343958,0.01583994,82071.0,0.00831,0.04944613,0.07678603,0.21658428
All Housing Types (Rent) 0-1 BR,Third Tercile ,Above 160000,0.02832868,0.01377427,0.0055219,0.00903251,82037.0,0.00419937,0.02142071,0.03523665,0.24385079
All Housing Types (Rent) 2 BR,All Values,,0.32957064,0.17206669,0.07083543,0.08666853,268425.0,0.009845,0.31337562,0.34576566,0.04913976
All Housing Types (Rent) 2 BR,First Tercile,Below 135000,0.3590341,0.18992252,0.07876492,0.09034666,88415.0,0.01792317,0.32955048,0.38851772,0.08211927
All Housing Types (Rent) 2 BR,Second Tercile,135000 to 185000,0.36783156,0.18976064,0.080004,0.09806691,89908.0,0.01994634,0.33501984,0.40064329,0.08920313
All Housing Types (Rent) 2 BR,Third Tercile ,Above 185000,0.2624803,0.1368893,0.05390557,0.07168542,90102.0,0.01590842,0.23631096,0.28864964,0.09970022
All Housing Types (Rent) 3 BR,All Values,,0.73145149,0.34287724,0.17752108,0.21105317,133663.0,0.02545466,0.68957856,0.77332441,0.05724634
All Housing Types (Rent) 3 BR,First Tercile,Below 161000,0.81159878,0.37765993,0.20291098,0.23102787,44315.0,0.04549096,0.73676615,0.88643142,0.09220398
All Housing Types (Rent) 3 BR,Second Tercile,161000 to 221000,0.75060712,0.35680878,0.16711639,0.22668196,44472.0,0.04673065,0.6737352,0.82747905,0.10241299
All Housing Types (Rent) 3 BR,Third Tercile ,Above 221000,0.63332293,0.29472324,0.1627596,0.17584009,44876.0,0.0417155,0.56470093,0.70194494,0.10835231
All Housing Types (Rent) 4-5 BR,All Values,,1.0037706,0.4229294,0.24748082,0.33336042,61528.0,0.04180361,0.93500371,1.0725376,0.06850861
All Housing Types (Rent) 4-5 BR,First Tercile,Below 193000,0.92895849,0.40840169,0.21695252,0.30360428,20115.0,0.07223754,0.81012773,1.0477892,0.12791826
All Housing Types (Rent) 4-5 BR,Second Tercile,193000 to 260000,1.1510978,0.50678929,0.2692604,0.37504815,20768.0,0.08168328,1.0167289,1.2854668,0.11673116
All Housing Types (Rent) 4-5 BR,Third Tercile ,Above 260000,0.92845725,0.35272463,0.25531606,0.32041657,20645.0,0.07865866,0.79906376,1.0578507,0.13936397
