Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"5-49 Units (Rent), 0-1 BR",First Tercile,Below 71000,0.03547715,0.01647846,0.01231038,0.00668831,20633.0,0.01118268,0.01708165,0.05387265,0.51851696
"5-49 Units (Rent), 0-1 BR",Second Tercile,71000 to 88000,0.05471269,0.03612744,0.01123649,0.00734876,21092.0,0.01558485,0.02907562,0.08034976,0.46857637
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 88000,0.03938525,0.02227758,0.00573389,0.01137378,21277.0,0.01402836,0.01630859,0.06246191,0.5859213
"5-49 Units (Rent), 2 BR",All Values,,0.32540135,0.19301569,0.06151272,0.07087295,54379.0,0.02318151,0.28726777,0.36353493,0.11718939
"5-49 Units (Rent), 2 BR",First Tercile,Below 85000,0.27548571,0.1556,0.02891429,0.09097143,17500.0,0.03664492,0.21520483,0.3357666,0.21881674
"5-49 Units (Rent), 2 BR",Second Tercile,85000 to 108000,0.39133244,0.22271871,0.09141319,0.07720054,18575.0,0.05318288,0.3038466,0.47881827,0.22355886
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 108000,0.30621722,0.1986451,0.0623361,0.04523601,18304.0,0.04336495,0.23488188,0.37755256,0.23295665
"5-49 Units (Rent), 3 BR",All Values,,0.99715386,0.44316089,0.20308053,0.35091244,5973.0,0.16058452,0.73299232,1.2613154,0.26491553
"5-49 Units (Rent), 3 BR",First Tercile,Below 71000,0.85583647,0.51425498,0.05486821,0.28671329,1859.0,0.22901016,0.47911476,1.2325582,0.44017955
"5-49 Units (Rent), 3 BR",Second Tercile,71000 to 114000,0.89624506,0.36215415,0.11610672,0.41798419,2024.0,0.26497569,0.46036005,1.3321301,0.48634578
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 114000,1.2205742,0.45837321,0.41913876,0.3430622,2090.0,0.32628274,0.68383906,1.7573093,0.43973986
"50+ Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,222.0,.,.,.,.
"50+ Units (Own), 0-1 BR",First Tercile,Below 76000,0.0,0.0,0.0,0.0,36.0,.,.,.,.
"50+ Units (Own), 0-1 BR",Second Tercile,76000 to 238000,0.0,0.0,0.0,0.0,55.0,.,.,.,.
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 238000,0.0,0.0,0.0,0.0,131.0,.,.,.,.
"50+ Units (Own), 2 BR",All Values,,0.0,0.0,0.0,0.0,339.0,.,.,.,.
"50+ Units (Own), 2 BR",First Tercile,Below 150000,0.0,0.0,0.0,0.0,46.0,.,.,.,.
"50+ Units (Own), 2 BR",Second Tercile,150000 to 324000,0.0,0.0,0.0,0.0,122.0,.,.,.,.
"50+ Units (Own), 2 BR",Third Tercile ,Above 324000,0.0,0.0,0.0,0.0,171.0,.,.,.,.
"50+ Units (Own), 3 BR",All Values,,0.0,0.0,0.0,0.0,58.0,.,.,.,.
"50+ Units (Own), 3 BR",First Tercile,Below 141000,0.0,0.0,0.0,0.0,1.0,.,.,.,.
"50+ Units (Own), 3 BR",Third Tercile ,Above 205000,0.0,0.0,0.0,0.0,57.0,.,.,.,.
"50+ Units (Rent), 0-1 BR",All Values,,0.01188557,0.00515963,0.00525176,0.00147418,21707.0,0.00503554,0.00360211,0.02016902,0.69693406
"50+ Units (Rent), 0-1 BR",First Tercile,Below 64000,0.00978277,0.00374047,0.0060423,0.0,6951.0,0.00654751,-0.0009879,0.02055343,1.1009833
