Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
"50+ Units (Rent), 2 BR",First Tercile,Below 119000,0.20507367,0.09144767,0.05407869,0.05954732
"50+ Units (Rent), 2 BR",Second Tercile,119000 to 179000,0.15807407,0.0797037,0.01940741,0.05896296
"50+ Units (Rent), 2 BR",Third Tercile ,Above 179000,0.09634993,0.05482489,0.03206739,0.00945766
"50+ Units (Rent), 3 BR",All Values,,0.67835847,0.24517713,0.20203437,0.23114697
"50+ Units (Rent), 3 BR",First Tercile,Below 130000,0.78388278,0.24420024,0.27716728,0.26251526
"50+ Units (Rent), 3 BR",Second Tercile,130000 to 174000,0.56801661,0.14537902,0.15680166,0.26583593
"50+ Units (Rent), 3 BR",Third Tercile ,Above 174000,0.696913,0.33582788,0.18521983,0.17586529
All Housing Types (Own) 0-1 BR,All Values,,0.09479441,0.04691108,0.01215313,0.0357302
All Housing Types (Own) 0-1 BR,First Tercile,Below 84000,0.05211141,0.03542549,0.00847131,0.00821461
All Housing Types (Own) 0-1 BR,Second Tercile,84000 to 200000,0.10801229,0.06369653,0.01205389,0.03226188
All Housing Types (Own) 0-1 BR,Third Tercile ,Above 200000,0.12096774,0.04067837,0.01565465,0.06463472
All Housing Types (Own) 2 BR,All Values,,0.12755414,0.05557954,0.03064969,0.04132492
All Housing Types (Own) 2 BR,First Tercile,Below 102000,0.14076222,0.05485648,0.03751439,0.04839135
All Housing Types (Own) 2 BR,Second Tercile,102000 to 191000,0.12997056,0.06224477,0.02638755,0.04133824
All Housing Types (Own) 2 BR,Third Tercile ,Above 191000,0.11279962,0.04984594,0.02829129,0.03466238
All Housing Types (Own) 3 BR,All Values,,0.34637738,0.15154511,0.08283126,0.112001
All Housing Types (Own) 3 BR,First Tercile,Below 151000,0.3460091,0.15398576,0.0806535,0.11136984
All Housing Types (Own) 3 BR,Second Tercile,151000 to 250000,0.34942408,0.15505972,0.08279417,0.11157019
All Housing Types (Own) 3 BR,Third Tercile ,Above 250000,0.34382381,0.14596059,0.08487195,0.11299127
All Housing Types (Own) 4-5 BR,All Values,,0.67625871,0.27893026,0.16439691,0.23293155
All Housing Types (Own) 4-5 BR,First Tercile,Below 237000,0.66344496,0.26841055,0.16396758,0.23106683
All Housing Types (Own) 4-5 BR,Second Tercile,237000 to 400000,0.69559574,0.2840735,0.17593613,0.23558612
All Housing Types (Own) 4-5 BR,Third Tercile ,Above 400000,0.66890844,0.28357936,0.15330846,0.23202062
All Housing Types (Rent) 0-1 BR,All Values,,0.05030776,0.02440428,0.01351922,0.01238426
All Housing Types (Rent) 0-1 BR,First Tercile,Below 70000,0.02112157,0.01271458,0.00341084,0.00499616
All Housing Types (Rent) 0-1 BR,Second Tercile,70000 to 113000,0.05535067,0.02133964,0.01870764,0.01530339
All Housing Types (Rent) 0-1 BR,Third Tercile ,Above 113000,0.07395807,0.03895429,0.01827311,0.01673067
All Housing Types (Rent) 2 BR,All Values,,0.31144168,0.16836229,0.06612937,0.07695002
All Housing Types (Rent) 2 BR,First Tercile,Below 87000,0.27177965,0.14444001,0.05452522,0.07281443
All Housing Types (Rent) 2 BR,Second Tercile,87000 to 122000,0.35559776,0.19835723,0.075273,0.08196752
All Housing Types (Rent) 2 BR,Third Tercile ,Above 122000,0.30693348,0.1623168,0.06854566,0.07607103
All Housing Types (Rent) 3 BR,All Values,,0.80632224,0.37623388,0.20718571,0.22290265
All Housing Types (Rent) 3 BR,First Tercile,Below 104000,0.77220635,0.38439999,0.17876216,0.2090442
All Housing Types (Rent) 3 BR,Second Tercile,104000 to 144000,0.8791883,0.40882191,0.22511676,0.24524963
All Housing Types (Rent) 3 BR,Third Tercile ,Above 144000,0.76857581,0.33632287,0.21758813,0.21466481
All Housing Types (Rent) 4-5 BR,All Values,,1.2463783,0.56497867,0.31887486,0.36252481
All Housing Types (Rent) 4-5 BR,First Tercile,Below 118000,1.1474981,0.52738065,0.27846566,0.34165177
All Housing Types (Rent) 4-5 BR,Second Tercile,118000 to 190000,1.4033918,0.64329268,0.34279726,0.41730183
All Housing Types (Rent) 4-5 BR,Third Tercile ,Above 190000,1.1884958,0.52458914,0.33496425,0.32894242
