Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"5-49 Units (Rent), 3 BR",First Tercile,Below 124000,1.3825503,0.75391499,0.41163311,0.21700224,894.0,0.53272797,0.50621282,2.2588879,0.63385578
"5-49 Units (Rent), 3 BR",Second Tercile,124000 to 163000,0.83930636,0.28092486,0.21271676,0.34566474,865.0,0.37163904,0.22796013,1.4506526,0.72839461
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 163000,0.69264706,0.17794118,0.11617647,0.39852941,1360.0,0.31056649,0.18176519,1.2035289,0.73757892
"50+ Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0,374.0,.,.,.,.
"50+ Units (Own), 0-1 BR",First Tercile,Below 80000,0.0,0.0,0.0,0.0,90.0,.,.,.,.
"50+ Units (Own), 0-1 BR",Second Tercile,80000 to 177000,0.0,0.0,0.0,0.0,81.0,.,.,.,.
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 177000,0.0,0.0,0.0,0.0,203.0,.,.,.,.
"50+ Units (Own), 2 BR",All Values,,0.125,0.08717105,0.0,0.03782895,608.0,0.08224801,-0.01029797,0.26029797,1.0823838
"50+ Units (Own), 2 BR",First Tercile,Below 150000,0.11570248,0.11570248,0.0,0.0,121.0,0.12821331,-0.09520841,0.32661337,1.8228727
"50+ Units (Own), 2 BR",Second Tercile,150000 to 300000,0.0,0.0,0.0,0.0,178.0,.,.,.,.
"50+ Units (Own), 2 BR",Third Tercile ,Above 300000,0.20064725,0.12621359,0.0,0.07443366,309.0,0.16164232,-0.06525437,0.46654887,1.3252193
"50+ Units (Own), 3 BR",All Values,,0.0,0.0,0.0,0.0,227.0,.,.,.,.
"50+ Units (Own), 3 BR",First Tercile,Below 210000,0.0,0.0,0.0,0.0,33.0,.,.,.,.
"50+ Units (Own), 3 BR",Second Tercile,210000 to 216000,0.0,0.0,0.0,0.0,15.0,.,.,.,.
