Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12)
All Housing Types (Rent) 0-1 BR,Second Tercile,64000 to 89000,0.02682639,0.01494704,0.00661229,0.00526705
All Housing Types (Rent) 0-1 BR,Third Tercile ,Above 89000,0.03153491,0.01523667,0.0067441,0.00955414
All Housing Types (Rent) 2 BR,All Values,,0.23188094,0.12253785,0.05119613,0.05814696
All Housing Types (Rent) 2 BR,First Tercile,Below 85000,0.21319608,0.1186303,0.04354049,0.05102529
All Housing Types (Rent) 2 BR,Second Tercile,85000 to 112000,0.25749691,0.13421654,0.05714965,0.06613072
All Housing Types (Rent) 2 BR,Third Tercile ,Above 112000,0.22462783,0.11468216,0.05277869,0.05716698
All Housing Types (Rent) 3 BR,All Values,,0.69929169,0.32124626,0.17374477,0.20430066
All Housing Types (Rent) 3 BR,First Tercile,Below 96000,0.60796095,0.30024089,0.15081062,0.15690945
All Housing Types (Rent) 3 BR,Second Tercile,96000 to 128000,0.7370283,0.33161098,0.17749892,0.22791841
All Housing Types (Rent) 3 BR,Third Tercile ,Above 128000,0.75193262,0.33169138,0.19260502,0.22763622
All Housing Types (Rent) 4-5 BR,All Values,,1.0711939,0.4642107,0.27442968,0.3325535
All Housing Types (Rent) 4-5 BR,First Tercile,Below 104000,0.92823674,0.42444731,0.2285292,0.27526023
All Housing Types (Rent) 4-5 BR,Second Tercile,104000 to 145000,1.2260287,0.54753741,0.29906484,0.37942643
All Housing Types (Rent) 4-5 BR,Third Tercile ,Above 145000,1.0581514,0.42059142,0.29515405,0.34240595
