Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"5-49 Units (Rent), 0-1 BR",Second Tercile,66000 to 88000,1.060112,0.00082345,0.0,0.63043478,0.0890975,0.13438735,0.07888669,0.10424901,0.0222332,6072.0,0.16830428,0.78325145,1.3369725,0.26116159
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 88000,1.1942605,0.0,0.0263521,0.58774834,0.10195916,0.14583333,0.1495585,0.07533113,0.10747792,7248.0,0.14817127,0.95051875,1.4380022,0.20409428
"5-49 Units (Rent), 2 BR",All Values,,1.8723397,0.15887882,0.19634105,0.92792884,0.15797247,0.13719369,0.15172877,0.0632427,0.07905337,29790.0,0.10790836,1.6948305,2.049849,0.09480611
"5-49 Units (Rent), 2 BR",First Tercile,Below 81000,1.6858286,0.10970731,0.19383028,0.81048642,0.15361129,0.1435039,0.10918088,0.07927985,0.08622868,9498.0,0.15860022,1.4249312,1.946726,0.15475913
"5-49 Units (Rent), 2 BR",Second Tercile,81000 to 102000,1.871325,0.12220698,0.27322619,0.82007056,0.17355939,0.1752254,0.19355155,0.04086633,0.07261858,10204.0,0.18595228,1.5654335,2.1772165,0.16346252
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 102000,2.0489691,0.24226804,0.12093577,1.1476011,0.14631245,0.09278351,0.14948454,0.07077716,0.0788065,10088.0,0.24092416,1.6526488,2.4452893,0.19342422
"5-49 Units (Rent), 3 BR",All Values,,3.0039858,0.42759079,0.73228521,1.1341895,0.26262179,0.15921169,0.13551816,0.08901683,0.06355182,4516.0,0.54801147,2.102507,3.9054647,0.30009425
"5-49 Units (Rent), 3 BR",First Tercile,Below 108000,2.1780523,0.21584302,0.36627907,0.67587209,0.38372093,0.23909884,0.13081395,0.09665698,0.06976744,1376.0,0.67424937,1.0689121,3.2871925,0.50923488
"5-49 Units (Rent), 3 BR",Second Tercile,108000 to 140000,3.1752988,0.53519256,0.92629482,0.93359894,0.312749,0.15073041,0.14741036,0.05312085,0.11620186,1506.0,1.1926788,1.2133422,5.1372554,0.61788093
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 140000,3.5416157,0.50673195,0.86168911,1.7050184,0.11444308,0.0997552,0.12851897,0.11566707,0.00979192,1634.0,0.86145142,2.1245281,4.9587032,0.40012461
"50+ Units (Own), 0-1 BR",All Values,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.0,1.432065,-1.3557469,3.3557469,2.3557469
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 212000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.0,1.432065,-1.3557469,3.3557469,2.3557469
"50+ Units (Own), 2 BR",All Values,,1.5612536,0.0,0.0,0.05413105,0.0,0.18233618,0.30769231,0.77207977,0.24501425,351.0,0.87826469,0.11650814,3.005999,0.92537526
"50+ Units (Own), 2 BR",First Tercile,Below 125000,1.0,0.0,0.0,0.44186047,0.0,0.0,0.0,0.0,0.55813953,43.0,1.0879024,-0.78959945,2.7895995,1.7895995
"50+ Units (Own), 2 BR",Second Tercile,125000 to 250000,1.3134328,0.0,0.0,0.0,0.0,0.0,0.8358209,0.47761194,0.0,67.0,1.6422668,-1.3880961,4.0149617,2.0568459
"50+ Units (Own), 2 BR",Third Tercile ,Above 250000,1.7302905,0.0,0.0,0.0,0.0,0.26556017,0.21576763,0.99170124,0.25726141,241.0,1.2138078,-0.26642336,3.7270043,1.1539761
"50+ Units (Own), 3 BR",All Values,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,1.4533911,-1.3908284,3.3908284,2.3908284
"50+ Units (Own), 3 BR",Third Tercile ,Above 111000,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,1.4533911,-1.3908284,3.3908284,2.3908284
"50+ Units (Rent), 0-1 BR",All Values,,1.1457426,0.01768977,0.0,0.48673267,0.12594059,0.04079208,0.08079208,0.11775578,0.2760396,7575.0,0.13399268,0.92532462,1.3661605,0.19238
"50+ Units (Rent), 0-1 BR",First Tercile,Below 78000,1.067471,0.00044683,0.0,0.25379803,0.04110813,0.04781055,0.16353887,0.22609473,0.33467382,2238.0,0.22226515,0.70184479,1.4330971,0.34251627
"50+ Units (Rent), 0-1 BR",Second Tercile,78000 to 106000,1.1779661,0.0,0.0,0.72919877,0.10862866,0.05469954,0.04699538,0.10323575,0.13520801,2596.0,0.24925477,0.767942,1.5879902,0.34807801
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 106000,1.1791317,0.04852244,0.0,0.44728201,0.21160161,0.02188982,0.04523896,0.04304998,0.36154688,2741.0,0.2315317,0.79826206,1.5600013,0.32300857
"50+ Units (Rent), 2 BR",All Values,,1.9303655,0.13054595,0.1147541,1.2224395,0.12693638,0.06662656,0.01458866,0.04045721,0.21401715,6649.0,0.31298575,1.4155039,2.445227,0.26671714
"50+ Units (Rent), 2 BR",First Tercile,Below 107000,2.0954825,0.27874743,0.23870637,1.1945585,0.18788501,0.03542094,0.02310062,0.02464066,0.112423,1948.0,0.63416743,1.0522771,3.138688,0.49783541
"50+ Units (Rent), 2 BR",Second Tercile,107000 to 140000,2.0527993,0.13746017,0.10650888,1.3368229,0.15248066,0.10741921,0.0,0.01775148,0.19435594,2197.0,0.52698289,1.1859124,2.9196861,0.42229499
"50+ Units (Rent), 2 BR",Third Tercile ,Above 140000,1.6944888,0.0091853,0.02555911,1.14377,0.05710863,0.05511182,0.02076677,0.07268371,0.31030351,2504.0,0.49405222,0.88177292,2.5072047,0.47962305
"50+ Units (Rent), 3 BR",All Values,,2.8245325,0.29977998,0.49394939,1.4416942,0.17931793,0.24037404,0.0440044,0.07975798,0.04565457,1818.0,0.94868022,1.2639535,4.3851114,0.55250877
"50+ Units (Rent), 3 BR",First Tercile,Below 118000,3.1173184,0.25977654,0.27932961,1.698324,0.0,0.5,0.2150838,0.0,0.16480447,358.0,1.7218335,0.28490226,5.9497346,0.90860662
"50+ Units (Rent), 3 BR",Second Tercile,118000 to 144000,3.0400616,0.35285054,0.86902928,1.3328197,0.35285054,0.11710324,0.0046225,0.0046225,0.00616333,649.0,1.5567901,0.47914189,5.6009814,0.84239073
