Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
"50+ Units (Rent), 2 BR",Second Tercile,121000 to 161000,0.40255591,0.19897764,0.07539936,0.12817891
"50+ Units (Rent), 2 BR",Third Tercile ,Above 161000,0.19765092,0.12048497,0.03510988,0.04205607
"50+ Units (Rent), 3 BR",All Values,,0.839156,0.37322726,0.20062262,0.26530612
"50+ Units (Rent), 3 BR",First Tercile,Below 146000,1.1995439,0.34777651,0.37400228,0.47776511
"50+ Units (Rent), 3 BR",Second Tercile,146000 to 189000,0.73532796,0.40391254,0.11967779,0.21173763
"50+ Units (Rent), 3 BR",Third Tercile ,Above 189000,0.6419214,0.36943231,0.12925764,0.14323144
All Housing Types (Own) 0-1 BR,All Values,,0.14424557,0.05946882,0.02857968,0.05619707
All Housing Types (Own) 0-1 BR,First Tercile,Below 159000,0.07893925,0.03083565,0.0191181,0.02898551
All Housing Types (Own) 0-1 BR,Second Tercile,159000 to 254000,0.1678072,0.0458197,0.03272835,0.08925915
All Housing Types (Own) 0-1 BR,Third Tercile ,Above 254000,0.17925026,0.09609293,0.03299894,0.05015839
All Housing Types (Own) 2 BR,All Values,,0.09611343,0.03928608,0.02577794,0.03104941
All Housing Types (Own) 2 BR,First Tercile,Below 209000,0.10428795,0.04231151,0.02431492,0.03766151
All Housing Types (Own) 2 BR,Second Tercile,209000 to 318000,0.12117455,0.04834939,0.03503117,0.03779399
All Housing Types (Own) 2 BR,Third Tercile ,Above 318000,0.06645159,0.02849733,0.01881899,0.01913528
All Housing Types (Own) 3 BR,All Values,,0.3412684,0.15564523,0.08274199,0.10288118
All Housing Types (Own) 3 BR,First Tercile,Below 265000,0.38299563,0.18109465,0.08599083,0.11591015
All Housing Types (Own) 3 BR,Second Tercile,265000 to 371000,0.36035911,0.16511104,0.08828531,0.10696276
All Housing Types (Own) 3 BR,Third Tercile ,Above 371000,0.28330484,0.1225083,0.07410238,0.08669416
All Housing Types (Own) 4-5 BR,All Values,,0.67417394,0.28429226,0.16414616,0.22573553
All Housing Types (Own) 4-5 BR,First Tercile,Below 330000,0.72554858,0.31536032,0.17419678,0.23599148
All Housing Types (Own) 4-5 BR,Second Tercile,330000 to 477000,0.67750344,0.28887868,0.16172776,0.226897
All Housing Types (Own) 4-5 BR,Third Tercile ,Above 477000,0.62388601,0.25144915,0.15720998,0.21522688
All Housing Types (Rent) 0-1 BR,All Values,,0.07659718,0.03812947,0.01946641,0.01900131
All Housing Types (Rent) 0-1 BR,First Tercile,Below 91000,0.07143593,0.04285126,0.01344252,0.01514215
All Housing Types (Rent) 0-1 BR,Second Tercile,91000 to 121000,0.09909408,0.04580191,0.02373602,0.02955615
All Housing Types (Rent) 0-1 BR,Third Tercile ,Above 121000,0.05934093,0.0259366,0.02110011,0.01230422
All Housing Types (Rent) 2 BR,All Values,,0.40258586,0.20837382,0.09080728,0.10340475
All Housing Types (Rent) 2 BR,First Tercile,Below 114000,0.48744356,0.23602473,0.12282642,0.12859241
All Housing Types (Rent) 2 BR,Second Tercile,114000 to 149000,0.42852904,0.23168497,0.08877795,0.10806612
All Housing Types (Rent) 2 BR,Third Tercile ,Above 149000,0.29310773,0.15758824,0.06151907,0.07400043
All Housing Types (Rent) 3 BR,All Values,,0.75648579,0.35983999,0.18027985,0.21636595
All Housing Types (Rent) 3 BR,First Tercile,Below 149000,0.83008025,0.39305334,0.19675451,0.2402724
All Housing Types (Rent) 3 BR,Second Tercile,149000 to 185000,0.7579983,0.35302659,0.17368447,0.23128724
All Housing Types (Rent) 3 BR,Third Tercile ,Above 185000,0.68238232,0.33387439,0.17060807,0.17789986
All Housing Types (Rent) 4-5 BR,All Values,,1.0845985,0.46035056,0.24284877,0.38139919
All Housing Types (Rent) 4-5 BR,First Tercile,Below 178000,0.9799018,0.41276596,0.2403928,0.32674304
All Housing Types (Rent) 4-5 BR,Second Tercile,178000 to 222000,1.1543132,0.49816532,0.2242311,0.43191674
All Housing Types (Rent) 4-5 BR,Third Tercile ,Above 222000,1.1197313,0.47049502,0.26291437,0.38632186
