Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
"5-49 Units (Rent), 3 BR",    Above Median,102000,0.97924298,0.2967033,0.20512821,0.47741148
"50+ Units (Own), 0-1 BR",All Values,,0.0,0.0,0.0,0.0
"50+ Units (Own), 0-1 BR",    Below Median,267000,0.0,0.0,0.0,0.0
"50+ Units (Own), 2 BR",All Values,,0.49382716,0.49382716,0.0,0.0
"50+ Units (Own), 2 BR",    Below Median,385000,0.525,0.525,0.0,0.0
"50+ Units (Own), 2 BR",    Above Median,385000,0.34883721,0.34883721,0.0,0.0
"50+ Units (Own), 3 BR",All Values,,0.0,0.0,0.0,0.0
"50+ Units (Own), 3 BR",    Below Median,250000,0.0,0.0,0.0,0.0
"50+ Units (Rent), 0-1 BR",All Values,,0.00877724,0.00302663,0.00575061,0.0
"50+ Units (Rent), 0-1 BR",    Below Median,116000,0.01699883,0.00586166,0.01113716,0.0
"50+ Units (Rent), 0-1 BR",    Above Median,116000,0.0,0.0,0.0,0.0
"50+ Units (Rent), 2 BR",All Values,,0.10835118,0.06295503,0.02783726,0.01755889
"50+ Units (Rent), 2 BR",    Below Median,98000,0.10538117,0.0568012,0.04857997,0.0
"50+ Units (Rent), 2 BR",    Above Median,98000,0.11233701,0.07121364,0.0,0.04112337
"50+ Units (Rent), 3 BR",All Values,,1.1982759,1.1982759,0.0,0.0
"50+ Units (Rent), 3 BR",    Below Median,175000,1.1756757,1.1756757,0.0,0.0
"50+ Units (Rent), 3 BR",    Above Median,175000,1.2380952,1.2380952,0.0,0.0
All Housing Types (Own) 0-1 BR,All Values,,0.0915162,0.04303735,0.02003463,0.02844422
All Housing Types (Own) 0-1 BR,    Below Median,115000,0.02548656,0.0115848,0.00834106,0.0055607
All Housing Types (Own) 0-1 BR,    Above Median,115000,0.16710875,0.07904509,0.03342175,0.05464191
All Housing Types (Own) 2 BR,All Values,,0.167486,0.06663936,0.05168647,0.04916018
All Housing Types (Own) 2 BR,    Below Median,150000,0.18797379,0.07208017,0.05987408,0.05601953
All Housing Types (Own) 2 BR,    Above Median,150000,0.14425178,0.06046918,0.04240128,0.04138132
All Housing Types (Own) 3 BR,All Values,,0.45539456,0.21353917,0.09906088,0.14279451
All Housing Types (Own) 3 BR,    Below Median,180000,0.47968145,0.23599856,0.09279071,0.15089218
All Housing Types (Own) 3 BR,    Above Median,180000,0.43002773,0.19008109,0.10560987,0.13433676
All Housing Types (Own) 4-5 BR,All Values,,0.91493471,0.41170353,0.21716459,0.28606658
