Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
All Housing Types (Own) 4-5 BR,All Values,,0.72966099,0.30257474,0.17474897,0.25233729
All Housing Types (Own) 4-5 BR,First Tercile,Below 209000,0.74711411,0.30684302,0.1754059,0.26486519
All Housing Types (Own) 4-5 BR,Second Tercile,209000 to 340000,0.71193657,0.29575953,0.17119293,0.24498411
All Housing Types (Own) 4-5 BR,Third Tercile ,Above 340000,0.72871675,0.30436168,0.17706342,0.24729165
All Housing Types (Rent) 0-1 BR,All Values,,0.0310207,0.01768099,0.00791672,0.005423
All Housing Types (Rent) 0-1 BR,First Tercile,Below 67000,0.02506835,0.013337,0.00639366,0.00533769
All Housing Types (Rent) 0-1 BR,Second Tercile,67000 to 96000,0.03939337,0.02682501,0.00647898,0.00608938
All Housing Types (Rent) 0-1 BR,Third Tercile ,Above 96000,0.02862696,0.01295164,0.01082377,0.00485155
All Housing Types (Rent) 2 BR,All Values,,0.26853072,0.14659508,0.05592835,0.06600729
All Housing Types (Rent) 2 BR,First Tercile,Below 85000,0.24659707,0.13301684,0.05213935,0.06144087
All Housing Types (Rent) 2 BR,Second Tercile,85000 to 112000,0.27781209,0.1560535,0.055771,0.06598759
All Housing Types (Rent) 2 BR,Third Tercile ,Above 112000,0.28090112,0.15059809,0.05979864,0.07050439
All Housing Types (Rent) 3 BR,All Values,,0.80957944,0.40049298,0.18798013,0.22110633
All Housing Types (Rent) 3 BR,First Tercile,Below 102000,0.74909647,0.3766411,0.15981339,0.21264198
All Housing Types (Rent) 3 BR,Second Tercile,102000 to 135000,0.83188756,0.42134256,0.20160316,0.20894184
All Housing Types (Rent) 3 BR,Third Tercile ,Above 135000,0.84731427,0.40331734,0.20231775,0.24167918
All Housing Types (Rent) 4-5 BR,All Values,,1.2175593,0.55657193,0.30270233,0.35828504
All Housing Types (Rent) 4-5 BR,First Tercile,Below 112000,1.0587773,0.49917769,0.24647837,0.3131212
All Housing Types (Rent) 4-5 BR,Second Tercile,112000 to 157000,1.3528515,0.58741598,0.36061257,0.40482295
All Housing Types (Rent) 4-5 BR,Third Tercile ,Above 157000,1.2359937,0.58115075,0.2993057,0.35553722
