Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"50+ Units (Rent), 2 BR",Third Tercile ,Above 219000,1.6505087,0.02573309,0.03830042,0.70736086,0.21783363,0.19868342,0.06882107,0.1861161,0.20766008,1671.0,0.31596814,1.1307411,2.1702763,0.31491358
"50+ Units (Rent), 3 BR",All Values,,3.7083333,0.0,0.02777778,1.6805556,0.0,0.09722222,1.9027778,0.0,0.0,72.0,3.5141066,-2.072372,9.4890387,1.5588419
"50+ Units (Rent), 3 BR",Second Tercile,241000 to 245000,5.0540541,0.0,0.0,3.2702703,0.0,0.0,1.7837838,0.0,0.0,37.0,5.0714449,-3.2884728,13.396581,1.6506604
"50+ Units (Rent), 3 BR",Third Tercile ,Above 245000,2.2857143,0.0,0.05714286,0.0,0.0,0.2,2.0285714,0.0,0.0,35.0,2.4301677,-1.7119116,6.2833402,1.7489613
All Housing Types (Own) 0-1 BR,All Values,,1.6416166,0.02452877,0.0677422,0.23269405,0.1172936,0.1813318,0.41707136,0.364886,0.23606881,12149.0,0.14306025,1.4062825,1.8769507,0.1433551
All Housing Types (Own) 0-1 BR,First Tercile,Below 156000,1.4985994,0.00356506,0.02240896,0.24675325,0.17188694,0.18894831,0.38833715,0.28673287,0.1899669,3927.0,0.19971485,1.1700685,1.8271304,0.21922531
All Housing Types (Own) 0-1 BR,Second Tercile,156000 to 262000,1.6701117,0.04776536,0.02932961,0.24832402,0.07877095,0.21061453,0.35083799,0.43463687,0.2698324,3580.0,0.24283094,1.2706548,2.0695686,0.23917975
All Housing Types (Own) 0-1 BR,Third Tercile ,Above 262000,1.740629,0.02434296,0.13571736,0.20874623,0.10081861,0.15230504,0.49246015,0.3772081,0.24903059,4642.0,0.24232568,1.3420033,2.1392548,0.22901246
All Housing Types (Own) 2 BR,All Values,,1.9949986,0.05891959,0.12317232,0.29810661,0.18660849,0.26307127,0.44693664,0.38165046,0.23653321,78378.0,0.05860329,1.8985962,2.091401,0.04832205
All Housing Types (Own) 2 BR,First Tercile,Below 195000,2.0234127,0.08111111,0.1384127,0.32400794,0.23384921,0.28503968,0.41769841,0.32242063,0.22087302,25200.0,0.10669552,1.8478986,2.1989268,0.08674164
All Housing Types (Own) 2 BR,Second Tercile,195000 to 288000,1.9715665,0.0502908,0.13175201,0.3341316,0.19656365,0.24867906,0.47135743,0.35081917,0.18797278,26307.0,0.10492613,1.798963,2.14417,0.08754636
All Housing Types (Own) 2 BR,Third Tercile ,Above 288000,1.9912917,0.04655577,0.10048007,0.23854713,0.13255926,0.25655912,0.45044844,0.46738119,0.29876075,26871.0,0.10692484,1.8154004,2.1671831,0.08833028
All Housing Types (Own) 3 BR,All Values,,2.6572488,0.12348484,0.3935318,0.44732805,0.32358556,0.40486842,0.46591987,0.3381838,0.16034642,170774.0,0.04312388,2.58631,2.7281876,0.02669633
All Housing Types (Own) 3 BR,First Tercile,Below 262000,2.644606,0.111625,0.39815732,0.49902727,0.31031825,0.40676504,0.43203759,0.31615461,0.17052087,54486.0,0.08417643,2.5061357,2.7830762,0.0523595
All Housing Types (Own) 3 BR,Second Tercile,262000 to 366000,2.6486541,0.12678032,0.40999162,0.4165665,0.33418934,0.39915492,0.47127818,0.32770553,0.16298765,54906.0,0.07968332,2.517575,2.7797331,0.04948893
All Housing Types (Own) 3 BR,Third Tercile ,Above 366000,2.6761591,0.13106448,0.37470268,0.42895311,0.32587729,0.40829559,0.49120263,0.36711088,0.14895246,61382.0,0.06854949,2.5633952,2.788923,0.04213648
All Housing Types (Own) 4-5 BR,All Values,,3.282014,0.17696351,0.65700886,0.54284684,0.42192331,0.51431664,0.49763966,0.30988456,0.16143063,97020.0,0.07503471,3.1585819,3.4054461,0.03760864
All Housing Types (Own) 4-5 BR,First Tercile,Below 318000,3.2101878,0.16013061,0.60780408,0.59196735,0.4283102,0.46651429,0.44235102,0.31333878,0.19977143,30625.0,0.13171263,2.9935205,3.426855,0.06749365
All Housing Types (Own) 4-5 BR,Second Tercile,318000 to 471000,3.3849887,0.20791987,0.65346688,0.59473245,0.4277412,0.5018084,0.52054159,0.33605366,0.14272466,32349.0,0.15802974,3.1250298,3.6449476,0.07679757
