Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12)
"50+ Units (Rent), 3 BR",Third Tercile ,Above 105000,0.30151188,0.12311015,0.09719222,0.0812095
All Housing Types (Own) 0-1 BR,All Values,,0.08047828,0.03455344,0.02152269,0.02440215
All Housing Types (Own) 0-1 BR,First Tercile,Below 77000,0.03311793,0.00678514,0.01130856,0.01502423
All Housing Types (Own) 0-1 BR,Second Tercile,77000 to 127000,0.08007503,0.03563699,0.00750252,0.03693551
All Housing Types (Own) 0-1 BR,Third Tercile ,Above 127000,0.12064052,0.05685982,0.04328946,0.02049125
All Housing Types (Own) 2 BR,All Values,,0.16718128,0.06634971,0.04346415,0.05736741
All Housing Types (Own) 2 BR,First Tercile,Below 73000,0.17369734,0.08016131,0.03841244,0.05512359
All Housing Types (Own) 2 BR,Second Tercile,73000 to 111000,0.16788622,0.0506802,0.04480573,0.07240029
All Housing Types (Own) 2 BR,Third Tercile ,Above 111000,0.16099406,0.06959383,0.04646137,0.04493885
All Housing Types (Own) 3 BR,All Values,,0.33682099,0.12239882,0.08693263,0.12748954
All Housing Types (Own) 3 BR,First Tercile,Below 90000,0.29953581,0.10290401,0.07848783,0.11814396
All Housing Types (Own) 3 BR,Second Tercile,90000 to 138000,0.35763552,0.13019785,0.09737653,0.13006114
All Housing Types (Own) 3 BR,Third Tercile ,Above 138000,0.35230516,0.13315268,0.08550176,0.13365072
All Housing Types (Own) 4-5 BR,All Values,,0.42491035,0.16062909,0.10215847,0.16212279
All Housing Types (Own) 4-5 BR,First Tercile,Below 108000,0.36775922,0.15126778,0.08202432,0.13446712
All Housing Types (Own) 4-5 BR,Second Tercile,108000 to 180000,0.41004307,0.15448751,0.09421189,0.16134367
All Housing Types (Own) 4-5 BR,Third Tercile ,Above 180000,0.49046941,0.17524751,0.12809045,0.18713144
All Housing Types (Rent) 0-1 BR,All Values,,0.03197768,0.01346711,0.00603606,0.01247451
All Housing Types (Rent) 0-1 BR,First Tercile,Below 26000,0.01883986,0.00710626,0.00512312,0.00661048
