Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"5-49 Units (Rent), 0-1 BR",Third Tercile ,Above 170000,0.03296214,0.01674091,0.00972532,0.00649592,53880.0,0.00748973,0.02064152,0.04528275,0.37378076
"5-49 Units (Rent), 2 BR",All Values,,0.34034182,0.18208128,0.07179643,0.08646411,131650.0,0.01394864,0.3173963,0.36328734,0.06741904
"5-49 Units (Rent), 2 BR",First Tercile,Below 133000,0.38329641,0.20952183,0.0777947,0.09597988,43332.0,0.02836186,0.33664115,0.42995167,0.1217211
"5-49 Units (Rent), 2 BR",Second Tercile,133000 to 206000,0.37893306,0.20104202,0.08800544,0.0898856,44145.0,0.02903944,0.33116319,0.42670294,0.12606415
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 206000,0.25963824,0.13621443,0.04971363,0.07371018,44173.0,0.02089559,0.22526499,0.29401149,0.13238901
"5-49 Units (Rent), 3 BR",All Values,,0.86715867,0.35606914,0.22963682,0.28145271,25745.0,0.06695641,0.75701537,0.97730197,0.12701631
"5-49 Units (Rent), 3 BR",First Tercile,Below 112000,1.1487712,0.49964209,0.30780243,0.34132665,8382.0,0.13369398,0.92884457,1.3686978,0.19144509
"5-49 Units (Rent), 3 BR",Second Tercile,112000 to 207000,0.88536726,0.36437247,0.21515327,0.30584153,8645.0,0.11867301,0.69015016,1.0805844,0.2204928
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 207000,0.57834366,0.20979582,0.16884607,0.19970177,8718.0,0.09296131,0.4254223,0.73126501,0.26441261
"50+ Units (Own), 0-1 BR",All Values,,0.00932652,0.00376648,0.00197292,0.00358712,11151.0,0.00435642,0.0021602,0.01649284,0.7683808
"50+ Units (Own), 0-1 BR",First Tercile,Below 297000,0.00922456,0.00922456,0.0,0.0,3469.0,0.00679666,-0.00195594,0.02040507,1.2120366
"50+ Units (Own), 0-1 BR",Second Tercile,297000 to 530000,0.0,0.0,0.0,0.0,3673.0,.,.,.,.
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 530000,0.01795959,0.00249439,0.00548765,0.00997755,4009.0,0.00978839,0.00185769,0.03406149,0.89656281
"50+ Units (Own), 2 BR",All Values,,0.09079532,0.04617984,0.01633189,0.02828359,15981.0,0.01787055,0.06139827,0.12019237,0.32377275
"50+ Units (Own), 2 BR",First Tercile,Below 354000,0.09165303,0.04275777,0.0153437,0.03355155,4888.0,0.03530704,0.03357295,0.14973311,0.63369514
"50+ Units (Own), 2 BR",Second Tercile,354000 to 628000,0.08916398,0.04951561,0.01811984,0.02152853,5574.0,0.02360339,0.05033639,0.12799156,0.43546268
"50+ Units (Own), 2 BR",Third Tercile ,Above 628000,0.09168328,0.04584164,0.01540134,0.0304403,5519.0,0.02704643,0.0471919,0.13617465,0.48527249
"50+ Units (Own), 3 BR",All Values,,0.33426966,0.19522472,0.11095506,0.02808989,1424.0,0.09938519,0.17078103,0.4977583,0.48909205
"50+ Units (Own), 3 BR",First Tercile,Below 450000,0.56285714,0.34285714,0.10571429,0.11428571,350.0,0.27869724,0.10440018,1.0213141,0.81451745
"50+ Units (Own), 3 BR",Second Tercile,450000 to 1500000,0.29287091,0.12909441,0.16377649,0.0,519.0,0.1639741,0.02313352,0.56260829,0.92101122
"50+ Units (Own), 3 BR",Third Tercile ,Above 1500000,0.22882883,0.16396396,0.06486486,0.0,555.0,0.09841088,0.06694293,0.39071473,0.70745414
"50+ Units (Rent), 0-1 BR",All Values,,0.01141678,0.0074346,0.00168055,0.00230162,109488.0,0.0022458,0.00772244,0.01511112,0.32358871
"50+ Units (Rent), 0-1 BR",First Tercile,Below 53000,0.00266415,0.00099906,0.0008603,0.0008048,36034.0,0.00142844,0.00031437,0.00501393,0.88199838
"50+ Units (Rent), 0-1 BR",Second Tercile,53000 to 197000,0.02659777,0.01841175,0.00364428,0.00454175,36770.0,0.00623324,0.01634409,0.03685145,0.38550883
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 197000,0.00479773,0.00275324,0.00051794,0.00152655,36684.0,0.00188972,0.00168914,0.00790632,0.64792897
"50+ Units (Rent), 2 BR",All Values,,0.25974959,0.15091998,0.04679369,0.06203593,45925.0,0.01825331,0.2297229,0.28977628,0.1155986
"50+ Units (Rent), 2 BR",First Tercile,Below 176000,0.33876308,0.1837505,0.06317044,0.09184214,15102.0,0.04389946,0.26654847,0.41097769,0.21317142
"50+ Units (Rent), 2 BR",Second Tercile,176000 to 293000,0.31939287,0.18689336,0.05465442,0.07784509,15351.0,0.03846041,0.2561255,0.38266025,0.19808637
"50+ Units (Rent), 2 BR",Third Tercile ,Above 293000,0.12344881,0.08318252,0.02300931,0.01725698,15472.0,0.01949994,0.09137141,0.15552621,0.25984372
"50+ Units (Rent), 3 BR",All Values,,0.58995599,0.29666063,0.12399689,0.16929847,3863.0,0.11310125,0.40390444,0.77600755,0.31536514
"50+ Units (Rent), 3 BR",First Tercile,Below 117000,0.64748784,0.19205835,0.22042139,0.2350081,1234.0,0.20025623,0.31806635,0.97690934,0.50876861
"50+ Units (Rent), 3 BR",Second Tercile,117000 to 313000,0.81458495,0.50969744,0.11792087,0.18696664,1289.0,0.27670779,0.35940063,1.2697693,0.55879294
"50+ Units (Rent), 3 BR",Third Tercile ,Above 313000,0.32089552,0.1880597,0.04104478,0.09179104,1340.0,0.10028528,0.15592623,0.48586481,0.51409035
