Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"50+ Units (Own), 3 BR",First Tercile,Below 387000,0.32167153,0.21574344,0.01846453,0.08746356," 1,029 ",0.166,0.048,0.595,85%
"50+ Units (Own), 3 BR",Second Tercile,387000 to 689000,0.34543568,0.06327801,0.21473029,0.06742739, 964 ,0.147,0.103,0.588,70%
"50+ Units (Own), 3 BR",Third Tercile ,Above 689000,0.40078431,0.28156863,0.11921569,0," 1,275 ",0.233,0.017,0.785,96%
"50+ Units (Rent), 0-1 BR",All Values,,0.03676641,0.02081888,0.00444272,0.01150481," 146,982 ",0.004,0.030,0.044,19%
"50+ Units (Rent), 0-1 BR",First Tercile,Below 77000,0.00927625,0.00554513,0.00150481,0.0022263," 48,511 ",0.003,0.004,0.015,60%
"50+ Units (Rent), 0-1 BR",Second Tercile,77000 to 167000,0.06753737,0.04320013,0.00766818,0.01666906," 48,773 ",0.011,0.049,0.086,27%
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 167000,0.03340175,0.01376313,0.00414504,0.01549358," 49,698 ",0.005,0.025,0.042,27%
"50+ Units (Rent), 2 BR",All Values,,0.27115831,0.15281099,0.0468499,0.07149741," 56,030 ",0.022,0.235,0.308,13%
"50+ Units (Rent), 2 BR",First Tercile,Below 159000,0.41662408,0.21501164,0.06234032,0.13927213," 17,613 ",0.054,0.328,0.505,21%
"50+ Units (Rent), 2 BR",Second Tercile,159000 to 273000,0.29827507,0.17763191,0.05907495,0.06156821," 19,653 ",0.036,0.239,0.358,20%
"50+ Units (Rent), 2 BR",Third Tercile ,Above 273000,0.10621403,0.06842891,0.01950544,0.01827968," 18,764 ",0.018,0.076,0.137,29%
"50+ Units (Rent), 3 BR",All Values,,0.58137184,0.22613718,0.166787,0.18844765," 6,925 ",0.090,0.433,0.730,26%
"50+ Units (Rent), 3 BR",First Tercile,161000,0.70984456,0.22703721,0.24163919,0.24116816," 2,123 ",0.187,0.402,1.017,43%
"50+ Units (Rent), 3 BR",Second Tercile,161000 to 310000,0.70218801,0.2471637,0.20948136,0.24554295," 2,468 ",0.173,0.418,0.987,41%
"50+ Units (Rent), 3 BR",Third Tercile ,Above 310000,0.33676093,0.20308483,0.05355613,0.08011997," 2,334 ",0.099,0.174,0.500,48%
All Housing Types (Own) 0-1 BR,All Values,,0.06077928,0.02468727,0.01944053,0.01665148," 72,426 ",0.008,0.048,0.074,21%
All Housing Types (Own) 0-1 BR,First Tercile,Below 171000,0.04928114,0.01645532,0.01772764,0.01509818," 23,579 ",0.011,0.031,0.068,37%
All Housing Types (Own) 0-1 BR,Second Tercile,171000 to 324000,0.06109051,0.02570661,0.01854457,0.01683932," 23,457 ",0.017,0.033,0.089,46%
All Housing Types (Own) 0-1 BR,Third Tercile ,Above 324000,0.07116975,0.03139031,0.021859,0.01792044," 25,390 ",0.013,0.049,0.093,31%
