Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+
"5-49 Units (Rent), 2 BR",All Values,,1.9697409,0.12473696,0.23067992,0.66432044,0.24076627,0.200566,0.17357231,0.15818881,0.17691024
"5-49 Units (Rent), 2 BR",First Tercile,Below 92000,1.803592,0.1176606,0.21736127,0.40064472,0.19709878,0.17061939,0.19709878,0.21505872,0.28804974
"5-49 Units (Rent), 2 BR",Second Tercile,92000 to 121000,1.7856373,0.12745309,0.13974553,0.64567608,0.2165193,0.19279707,0.18072029,0.13845159,0.14427432
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 121000,2.2978546,0.12851489,0.33055613,0.92084982,0.30368673,0.23515934,0.14538638,0.12580712,0.10789419
"5-49 Units (Rent), 3 BR",All Values,,3.6480502,0.29345671,1.0102445,1.3374091,0.50727032,0.24983477,0.08526107,0.15003305,0.01454065
"5-49 Units (Rent), 3 BR",First Tercile,Below 76000,3.0371204,0.16197975,0.84139483,1.136108,0.27221597,0.25646794,0.10348706,0.24409449,0.02137233
"5-49 Units (Rent), 3 BR",Second Tercile,76000 to 119000,4.1037464,0.58213256,1.314121,1.012488,0.63976945,0.31988473,0.0,0.21133525,0.02401537
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 119000,3.7107664,0.12591241,0.85857664,1.8093066,0.57208029,0.17791971,0.15145985,0.01551095,0.0
"50+ Units (Own), 0-1 BR",All Values,,1.6457565,0.07380074,0.27306273,0.0,0.34317343,0.0,0.2804428,0.08118081,0.59409594
"50+ Units (Own), 0-1 BR",First Tercile,Below 324000,1.0833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0833333
"50+ Units (Own), 0-1 BR",Second Tercile,324000 to 397000,3.4918033,0.0,1.2131148,0.0,1.147541,0.0,0.86885246,0.0,0.26229508
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 397000,1.1111111,0.1010101,0.0,0.0,0.11616162,0.0,0.11616162,0.11111111,0.66666667
"50+ Units (Own), 2 BR",All Values,,1.8381344,0.1563786,0.06447188,0.10699588,0.34156379,0.03978052,0.1659808,0.41975309,0.54320988
"50+ Units (Own), 2 BR",First Tercile,Below 144000,1.1111111,0.0,0.0,0.0,0.12698413,0.0,0.26984127,0.23809524,0.47619048
