Structure,VALUE_TENURE,value_range,SAC,(K-5),(6-8),(9-12),Number of Households,Standard Errors,Low,High,Error Margin as %
"50+ Units (Own), 3 BR",First Tercile,Below 141000,0.0,0.0,0.0,0.0,1.0,.,.,.,.
"50+ Units (Own), 3 BR",Third Tercile ,Above 205000,0.0,0.0,0.0,0.0,57.0,.,.,.,.
"50+ Units (Rent), 0-1 BR",All Values,,0.01409684,0.00681808,0.00580458,0.00147418,21707.0,0.00533909,0.00531403,0.02287964,0.62303351
"50+ Units (Rent), 0-1 BR",First Tercile,Below 64000,0.01496188,0.00891958,0.0060423,0.0,6951.0,0.0082826,0.00133699,0.02858676,0.91063995
"50+ Units (Rent), 0-1 BR",Second Tercile,64000 to 101000,0.00463468,0.00299891,0.00163577,0.0,7336.0,0.0045486,-0.00284777,0.01211712,1.6144474
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 101000,0.02264151,0.00862534,0.0097035,0.00431267,7420.0,0.01240039,0.00224287,0.04304015,0.90093978
"50+ Units (Rent), 2 BR",All Values,,0.28609972,0.20105763,0.0438161,0.04122599,9266.0,0.04886748,0.20571271,0.36648673,0.2809755
"50+ Units (Rent), 2 BR",First Tercile,Below 90000,0.29535559,0.24963716,0.03120464,0.01451379,2756.0,0.07622533,0.16996493,0.42074625,0.42454136
"50+ Units (Rent), 2 BR",Second Tercile,90000 to 121000,0.36508894,0.20018089,0.07597226,0.08893579,3317.0,0.09314119,0.21187167,0.5183062,0.41967107
"50+ Units (Rent), 2 BR",Third Tercile ,Above 121000,0.19605387,0.16003758,0.02129659,0.0147197,3193.0,0.08212931,0.06095116,0.33115658,0.68911016
"50+ Units (Rent), 3 BR",All Values,,1.0590319,0.47461629,0.24675325,0.33766234,847.0,0.47321006,0.28060133,1.8374624,0.73503977
"50+ Units (Rent), 3 BR",First Tercile,Below 93000,1.4947917,0.41145833,0.63541667,0.44791667,192.0,0.9613077,-0.0865595,3.0761428,1.0579074
"50+ Units (Rent), 3 BR",Second Tercile,93000 to 116000,1.424581,0.94413408,0.34078212,0.1396648,179.0,1.3342128,-0.77019906,3.6193611,1.5406495
"50+ Units (Rent), 3 BR",Third Tercile ,Above 116000,0.74579832,0.32352941,0.05462185,0.36764706,476.0,0.45460485,-0.00202666,1.4936233,1.0027174
All Housing Types (Own) 0-1 BR,All Values,,0.12711707,0.06259694,0.02314039,0.04137974,16119.0,0.02330465,0.08878092,0.16545322,0.30158147
All Housing Types (Own) 0-1 BR,First Tercile,Below 55000,0.10405934,0.03482382,0.01236349,0.05687204,4853.0,0.03523751,0.04609364,0.16202505,0.55704472
All Housing Types (Own) 0-1 BR,Second Tercile,55000 to 127000,0.13700338,0.06752182,0.01977552,0.04970604,5613.0,0.03973686,0.07163626,0.20237051,0.47712052
All Housing Types (Own) 0-1 BR,Third Tercile ,Above 127000,0.13709535,0.08154962,0.03573324,0.01981249,5653.0,0.03797357,0.07462882,0.19956187,0.45564294
All Housing Types (Own) 2 BR,All Values,,0.15855104,0.07004412,0.03710306,0.05140387,123979.0,0.00879063,0.14409046,0.17301163,0.0912046
All Housing Types (Own) 2 BR,First Tercile,Below 70000,0.21036493,0.08266311,0.05446366,0.07323816,39788.0,0.01989997,0.17762949,0.24310038,0.15561265
All Housing Types (Own) 2 BR,Second Tercile,70000 to 133000,0.15610172,0.07132277,0.03384129,0.05093766,39833.0,0.01638809,0.12914331,0.18306014,0.17269773
All Housing Types (Own) 2 BR,Third Tercile ,Above 133000,0.11427476,0.05757699,0.02446007,0.0322377,44358.0,0.01139164,0.09553551,0.13301402,0.16398418
All Housing Types (Own) 3 BR,All Values,,0.38939163,0.17276499,0.09308663,0.12354001,527659.0,0.0069084,0.37802731,0.40075596,0.02918482
All Housing Types (Own) 3 BR,First Tercile,Below 120000,0.43175829,0.19062349,0.10380664,0.13732815,168101.0,0.01333713,0.40981872,0.45369786,0.05081448
All Housing Types (Own) 3 BR,Second Tercile,120000 to 191000,0.37271454,0.16391344,0.09474552,0.11405557,173433.0,0.01278501,0.35168319,0.39374588,0.05642749
All Housing Types (Own) 3 BR,Third Tercile ,Above 191000,0.36666756,0.16488381,0.08185897,0.11992478,186125.0,0.01263013,0.345891,0.38744413,0.05666322
All Housing Types (Own) 4-5 BR,All Values,,0.78692922,0.33876449,0.19204183,0.25612291,233345.0,0.01676049,0.75935823,0.81450022,0.03503619
All Housing Types (Own) 4-5 BR,First Tercile,Below 191000,0.78124587,0.32148046,0.20322035,0.25654506,75706.0,0.03106083,0.73015081,0.83234094,0.06540203
All Housing Types (Own) 4-5 BR,Second Tercile,191000 to 314000,0.7527569,0.31111025,0.17845613,0.26319052,77442.0,0.03171877,0.70057953,0.80493427,0.06931503
All Housing Types (Own) 4-5 BR,Third Tercile ,Above 314000,0.82529272,0.38178485,0.19460828,0.24889958,80197.0,0.03680535,0.76474792,0.88583751,0.0733616
All Housing Types (Rent) 0-1 BR,All Values,,0.05358208,0.0280668,0.01364405,0.01187123,120712.0,0.00589517,0.04388452,0.06327964,0.18098513
All Housing Types (Rent) 0-1 BR,First Tercile,Below 66000,0.03761999,0.01797038,0.01258177,0.00706785,39899.0,0.00759121,0.02513246,0.05010752,0.33193877
All Housing Types (Rent) 0-1 BR,Second Tercile,66000 to 86000,0.06082058,0.03591904,0.01331073,0.01159081,40118.0,0.01023346,0.04398654,0.07765462,0.27678204
All Housing Types (Rent) 0-1 BR,Third Tercile ,Above 86000,0.06209608,0.03022484,0.01501413,0.01685711,40695.0,0.01017822,0.04535291,0.07883925,0.26963323
All Housing Types (Rent) 2 BR,All Values,,0.33883081,0.19348102,0.06944811,0.07590167,158982.0,0.01401965,0.31576849,0.36189313,0.06806442
All Housing Types (Rent) 2 BR,First Tercile,Below 83000,0.30191095,0.16978788,0.05463405,0.07748901,52330.0,0.02237867,0.26509804,0.33872386,0.12193301
All Housing Types (Rent) 2 BR,Second Tercile,83000 to 106000,0.36582554,0.19943295,0.083735,0.08265759,52905.0,0.02491165,0.32484588,0.4068052,0.11201968
All Housing Types (Rent) 2 BR,Third Tercile ,Above 106000,0.34820548,0.21069083,0.06980855,0.0677061,53747.0,0.02406792,0.30861375,0.38779722,0.11370222
All Housing Types (Rent) 3 BR,All Values,,0.84691516,0.40810868,0.18806622,0.25074026,136101.0,0.02595809,0.8042141,0.88961621,0.05041952
All Housing Types (Rent) 3 BR,First Tercile,Below 99000,0.82434566,0.40743623,0.17383086,0.24307857,44969.0,0.04165552,0.75582233,0.89286899,0.08312451
All Housing Types (Rent) 3 BR,Second Tercile,99000 to 132000,0.92820153,0.44343018,0.21067761,0.27409374,45572.0,0.05004155,0.84588317,1.0105199,0.08868586
All Housing Types (Rent) 3 BR,Third Tercile ,Above 132000,0.78788411,0.37344162,0.17949956,0.23494293,45560.0,0.04448619,0.71470433,0.86106389,0.0928814
All Housing Types (Rent) 4-5 BR,All Values,,1.3334435,0.59011407,0.33661762,0.40671185,30245.0,0.08826315,1.1882507,1.4786364,0.10888567
All Housing Types (Rent) 4-5 BR,First Tercile,Below 110000,0.96076233,0.4770689,0.22176926,0.26192417,9812.0,0.10717944,0.78445216,1.1370725,0.18351071
All Housing Types (Rent) 4-5 BR,Second Tercile,110000 to 168000,1.6537485,0.68498633,0.47676689,0.49199531,10244.0,0.19223315,1.337525,1.9699721,0.19121622
All Housing Types (Rent) 4-5 BR,Third Tercile ,Above 168000,1.3703013,0.60359211,0.30631073,0.46039847,10189.0,0.14347111,1.1342913,1.6063113,0.17223217
