Structure,VALUE_TENURE,value_range,PERSONS,0-4,5-17,18-34,35-44,45-54,55-64,65-74,75+,Number of Households,Standard Errors,Low,High,Error Margin as %
"5-49 Units (Rent), 2 BR",All Values,,2.4632524,0.21214245,0.43199593,0.78359655,0.36020508,0.26660069,0.21064423,0.11860679,0.07946064,72753.0,0.07910902,2.333118,2.5933867,0.05283029
"5-49 Units (Rent), 2 BR",First Tercile,Below 116000,2.5702698,0.22266118,0.54707069,0.63516012,0.36483988,0.31692864,0.22753635,0.14406993,0.11200303,23794.0,0.16825472,2.2934908,2.8470488,0.10768481
"5-49 Units (Rent), 2 BR",Second Tercile,116000 to 147000,2.4801236,0.24144181,0.42240989,0.85017508,0.36457261,0.23110196,0.20823893,0.10669413,0.05548919,24275.0,0.16089301,2.2154546,2.7447926,0.10671605
"5-49 Units (Rent), 2 BR",Third Tercile ,Above 147000,2.3435019,0.17318911,0.33049749,0.86120564,0.35144223,0.25299789,0.19672662,0.10577702,0.07166586,24684.0,0.13726042,2.1177085,2.5692953,0.09634872
"5-49 Units (Rent), 3 BR",All Values,,3.4887831,0.36206662,1.0396329,0.95492862,0.52209381,0.32080218,0.19619307,0.05771584,0.0353501,14710.0,0.30785455,2.9823624,3.9952039,0.14515684
"5-49 Units (Rent), 3 BR",First Tercile,Below 134000,3.5296451,0.4302714,1.1302714,0.92004175,0.4908142,0.21544885,0.2473904,0.06805846,0.02734864,4790.0,0.4722108,2.7528583,4.3064319,0.22007503
"5-49 Units (Rent), 3 BR",Second Tercile,134000 to 170000,3.5886598,0.32,1.211134,0.88103093,0.58886598,0.30804124,0.17958763,0.06639175,0.03360825,4850.0,0.54399768,2.6937836,4.483536,0.24936222
"5-49 Units (Rent), 3 BR",Third Tercile ,Above 170000,3.3546351,0.33786982,0.78994083,1.0585799,0.4877712,0.43254438,0.16370809,0.03964497,0.04457594,5070.0,0.49325645,2.5432282,4.166042,0.24187634
"50+ Units (Own), 0-1 BR",All Values,,1.2285032,0.0,0.02308917,0.19506369,0.11624204,0.12659236,0.31050955,0.29538217,0.1616242,1256.0,0.26271339,0.79633965,1.6606667,0.35178055
"50+ Units (Own), 0-1 BR",First Tercile,Below 136000,1.2428198,0.0,0.07571802,0.23237598,0.0,0.05483029,0.51697128,0.16449086,0.19843342,383.0,0.58709714,0.27704505,2.2085946,0.7770835
"50+ Units (Own), 0-1 BR",Second Tercile,136000 to 240000,1.2596154,0.0,0.0,0.28525641,0.16346154,0.03846154,0.48717949,0.17307692,0.11217949,312.0,0.46477387,0.49506236,2.0241684,0.60697339
"50+ Units (Own), 0-1 BR",Third Tercile ,Above 240000,1.201426,0.0,0.0,0.11942959,0.16934046,0.22459893,0.07130125,0.45276292,0.16399287,561.0,0.37363016,0.5868044,1.8160476,0.51157675
"50+ Units (Own), 2 BR",All Values,,1.5912064,0.02252907,0.03052326,0.16860465,0.20421512,0.31649709,0.31795058,0.359375,0.17151163,2752.0,0.22952924,1.2136308,1.968782,0.23728889
"50+ Units (Own), 2 BR",First Tercile,Below 244000,1.6258581,0.05263158,0.09610984,0.1979405,0.21510297,0.14645309,0.25743707,0.4416476,0.21853547,874.0,0.39013723,0.98408238,2.2676339,0.39473047
"50+ Units (Own), 2 BR",Second Tercile,244000 to 366000,1.4664225,0.0,0.0,0.17582418,0.22588523,0.38949939,0.21001221,0.33455433,0.13064713,819.0,0.46048923,0.70891768,2.2239272,0.51656654
"50+ Units (Own), 2 BR",Third Tercile ,Above 366000,1.6591124,0.01510859,0.0,0.1388102,0.17847025,0.40037771,0.45136922,0.31067044,0.16430595,1059.0,0.33467977,1.1085641,2.2096606,0.331833
"50+ Units (Own), 3 BR",All Values,,2.2026266,0.0,0.12757974,0.54596623,0.11444653,0.315197,0.32833021,0.50469043,0.26641651,533.0,0.57319619,1.2597189,3.1455344,0.42808333
"50+ Units (Own), 3 BR",First Tercile,Below 350000,2.5779221,0.0,0.23376623,0.54545455,0.28571429,0.47402597,0.52597403,0.31168831,0.2012987,154.0,1.3494864,0.35801688,4.7978273,0.86112191
"50+ Units (Own), 3 BR",Second Tercile,350000 to 700000,1.6319444,0.0,0.22222222,0.0,0.0,0.42361111,0.15972222,0.50694444,0.31944444,144.0,0.60551831,0.63586682,2.6280221,0.61036246
"50+ Units (Own), 3 BR",Third Tercile ,Above 700000,2.306383,0.0,0.0,0.88085106,0.07234043,0.14468085,0.30212766,0.62978723,0.27659574,235.0,1.0191284,0.62991679,3.9828492,0.72688109
"50+ Units (Rent), 0-1 BR",All Values,,1.3388799,0.02266036,0.05832148,0.39392636,0.16553641,0.13159549,0.20043667,0.19309273,0.1733104,30229.0,0.06053692,1.2392966,1.4384631,0.07437802
"50+ Units (Rent), 0-1 BR",First Tercile,Below 89000,1.2462459,0.0211039,0.04200487,0.18354302,0.09730114,0.11181006,0.25050731,0.3400974,0.19987825,9856.0,0.09674094,1.0871071,1.4053848,0.12769458
"50+ Units (Rent), 0-1 BR",Second Tercile,89000 to 127000,1.3879344,0.03939573,0.08017378,0.40926145,0.21514613,0.18424171,0.20240916,0.16390205,0.09340442,10128.0,0.10049073,1.2226272,1.5532417,0.11910306
"50+ Units (Rent), 0-1 BR",Third Tercile ,Above 127000,1.3795022,0.00761347,0.05241581,0.58116154,0.18213763,0.09858468,0.15031723,0.08052709,0.22674475,10245.0,0.12245677,1.1780608,1.5809436,0.1460247
"50+ Units (Rent), 2 BR",All Values,,2.2356928,0.12904333,0.30557701,0.68275418,0.32818533,0.22419562,0.22788503,0.19043329,0.14761905,23310.0,0.11933187,2.0393919,2.4319938,0.08780317
