Structure,VALUE_TENURE,value_range,PSC,(K-5),(6-8),(9-12)
All Housing Types (Own) 2 BR,Second Tercile,108000 to 199000,0.09258486,0.03854815,0.02627959,0.02775712
All Housing Types (Own) 2 BR,Third Tercile ,Above 199000,0.08096576,0.03592018,0.0150579,0.02998768
All Housing Types (Own) 3 BR,All Values,,0.26652214,0.10684543,0.0656074,0.0940693
All Housing Types (Own) 3 BR,First Tercile,Below 157000,0.28749579,0.11502326,0.06928925,0.10318329
All Housing Types (Own) 3 BR,Second Tercile,157000 to 254000,0.27400004,0.10682897,0.06965884,0.09751223
All Housing Types (Own) 3 BR,Third Tercile ,Above 254000,0.24037752,0.09938692,0.05846277,0.08252783
All Housing Types (Own) 4-5 BR,All Values,,0.55644603,0.22127456,0.14077989,0.19439158
All Housing Types (Own) 4-5 BR,First Tercile,Below 262000,0.57682182,0.22568937,0.14767186,0.20346059
All Housing Types (Own) 4-5 BR,Second Tercile,262000 to 424000,0.5320716,0.20662518,0.13602239,0.18942403
All Housing Types (Own) 4-5 BR,Third Tercile ,Above 424000,0.56104263,0.23139815,0.13893721,0.19070727
All Housing Types (Rent) 0-1 BR,All Values,,0.03744377,0.01969807,0.00783798,0.00990772
All Housing Types (Rent) 0-1 BR,First Tercile,Below 78000,0.04427324,0.02452948,0.01053716,0.0092066
All Housing Types (Rent) 0-1 BR,Second Tercile,78000 to 118000,0.04567584,0.0244058,0.0093754,0.01189464
All Housing Types (Rent) 0-1 BR,Third Tercile ,Above 118000,0.02242215,0.01018898,0.00361991,0.00861326
All Housing Types (Rent) 2 BR,All Values,,0.27309134,0.14499169,0.0592392,0.06886046
All Housing Types (Rent) 2 BR,First Tercile,Below 91000,0.28120834,0.14437053,0.06253964,0.07429818
All Housing Types (Rent) 2 BR,Second Tercile,91000 to 127000,0.32558581,0.17412611,0.06998094,0.08147876
All Housing Types (Rent) 2 BR,Third Tercile ,Above 127000,0.21237756,0.1163338,0.04520417,0.05083959
All Housing Types (Rent) 3 BR,All Values,,0.6758611,0.31273339,0.16542502,0.19770269
All Housing Types (Rent) 3 BR,First Tercile,Below 109000,0.72030806,0.35200816,0.17698196,0.19131794
All Housing Types (Rent) 3 BR,Second Tercile,109000 to 152000,0.70456959,0.31679838,0.1687073,0.21906391
All Housing Types (Rent) 3 BR,Third Tercile ,Above 152000,0.60327366,0.26967682,0.15069054,0.1829063
All Housing Types (Rent) 4-5 BR,All Values,,0.93637207,0.39131948,0.24047386,0.30457874
All Housing Types (Rent) 4-5 BR,First Tercile,Below 136000,0.90793229,0.41381602,0.23214356,0.26197271
All Housing Types (Rent) 4-5 BR,Second Tercile,136000 to 203000,1.0128126,0.41891788,0.24683544,0.34705928
All Housing Types (Rent) 4-5 BR,Third Tercile ,Above 203000,0.88832662,0.34184397,0.24232317,0.30415948
